,original_title,ISBN,ISSN,DOI,URLs,Proceedings title,Abstract,Authors,Journal,Publication year,Date published,URLs,title,keep_title
53,Quantifying the Energy Efficiency Challenges of Achieving Exascale Computing,"9,78148E+12",,10.1109/CCGrid.2015.130,https://doi.org/10.1109/CCGrid.2015.130;http://dx.doi.org/10.1109/CCGrid.2015.130,"Proceedings of the 15th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing","Power and performance are two potentially opposing objectives in the design of a supercomputer, where increases in performance often come at the cost of increased power consumption and vice versa. The task of simultaneously maximising both objectives is becoming an increasingly prominent challenge in the development of future exascale supercomputers. To gain some perspective on the scale of the challenge, we analyse the power and performance trends for the Top500 and Green500 supercomputer lists. We then present the Pa PW metric, which we use to evaluate the scalability of power efficiency, projecting the development of an exascale system. From this analysis, we found that when both power and performance are considered, the projected date of achieving an exascale system falls far beyond the current target of 2020.","Mair J,Huang Z,Eyers D,Chen Y",,2015,2015,https://doi.org/10.1109/CCGrid.2015.130;http://dx.doi.org/10.1109/CCGrid.2015.130,quantifying the energy efficiency challenges of achieving exascale computing,1
54,Artificial Neural Network Performance Evaluation for a Hybrid Power Domain Orthogonal / Non-Orthogonal Multiple Access (OMA / NOMA) System,"9,78145E+12",,10.1145/3416011.3424760,https://doi.org/10.1145/3416011.3424760;http://dx.doi.org/10.1145/3416011.3424760,"Proceedings of the 17th ACM Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, & Ubiquitous Networks","Next-generation wireless technologies face considerable challenges in terms of providing the required latency and connectivity for new heterogeneous mobile networks. Driven by these problems, this study focuses on increasing user connectivity together with system throughput. For doing so, we propose and evaluate a hybrid machine learning-driven orthogonal/non-orthogonal multiple access (OMA/NOMA) system. In this work, we use an artificial neural network (ANN) to assign an OMA or NOMA access method to each user equipment (UE). As part of this research we also evaluate the accuracy and training time of the three most relevant learning algorithms of ANN (L-M, BFGS, and OSS). The main objective is to increase the sum-rate of the mobile network in the introduced beamforming and mmWave channel environment.Simulation results show up to a $20%$ sum-rate average performance increase of the system using the ANN management in contrast to a random non-ANN managed system. The Leveberg-Marquard (L-M) training algorithm is the best overall algorithm for this proposed application as presents the highest accuracy of around $77%$ despite 37 minutes of training and lower accuracy of $73%$ with approximately 28 seconds of training time.","Belesaca JD,Avila-Campos P,Vazquez-Rodas A",,2020,2020,https://doi.org/10.1145/3416011.3424760;http://dx.doi.org/10.1145/3416011.3424760,artificial neural network performance evaluation for a hybrid power domain orthogonal non orthogonal multiple access oma noma system,1
55,BitWatts: A Process-Level Power Monitoring Middleware,"9,78145E+12",,10.1145/2678508.2678529,https://doi.org/10.1145/2678508.2678529;http://dx.doi.org/10.1145/2678508.2678529,Proceedings of the Posters and Demos Session of the 15th International Middleware Conference,"Power estimation of software processes provides critical indicators to drive scheduling or power capping heuristics. State-of-the-art power estimation solutions only provide coarse-grained support for power estimation. In this paper, we therefore propose a middleware for assembling and configuring software-defined power meters. Software-defined power meters provide real-time and accurate power estimation of software processes. In particular, our solution automatically learns an application-agnostic power model, which can be used to estimate the power consumption of applications.Our approach, named BitWatts, builds on a distributed actor middleware to collect process usage and infer fine-grained power consumption without imposing any hardware investment (e.g., power meters).","Colmant M,Kurpicz M,Felber P,Huertas L,Rouvoy R,Sobe A",,2014,2014,https://doi.org/10.1145/2678508.2678529;http://dx.doi.org/10.1145/2678508.2678529,bitwatts a process level power monitoring middleware,1
56,Application Power Consumption Estimation Considering Software Dependency in Android,"9,78145E+12",,10.1145/3022227.3022312,https://doi.org/10.1145/3022227.3022312;http://dx.doi.org/10.1145/3022227.3022312,Proceedings of the 11th International Conference on Ubiquitous Information Management and Communication,"Android operating system has become one of the most popular smartphone platforms. One report stated that the most important issue of smartphones was its power consumption. Android has a function with which an application can be invoked in screen-off state without user's operation. Some applications frequently work in screen-off state, heavily and consume battery. For saving power consumption in the state, accurate estimation of power consumption of each application is important. However, estimating power consumption cannot be easily achieved because of its dependency on device. That is, application's power consumption varies on installed application and type of hardware module in the device, which can be called software and hardware dependency, respectively. In this paper, we discuss estimation of power consumption in screen-off state considering software dependency. First, we explain software dependency of power consumption. Second, we propose a method, which takes account of software dependency, for estimating power consumption due to GPS. The proposed method monitors GPS utilization individually. Third, we evaluate our method with a benchmark and practical applications using GPS. We then demonstrate that our method can estimate power consumption of each application and suitably predict consumption after uninstalling an application without uninstallation.","Kurihara S,Fukuda S,Hamanaka S,Oguchi M,Yamaguchi S",,2017,2017,https://doi.org/10.1145/3022227.3022312;http://dx.doi.org/10.1145/3022227.3022312,application power consumption estimation considering software dependency in android,1
57,Modeling the Power Consumption of Audio Signal Processing Computations Using Customized Numerical Representations,"9,78077E+12",,,,Proceedings of the 36th Annual Symposium on Simulation,"This paper explores the impact that numericalrepresentation has on the power consumption of audiosignal processing applications. The motivation is digitalhearing aids, for which minimizing the powerconsumption is a critical design goal. We investigate twoaspects of this problem. First, we evaluate the validity ofusing signal transition counts to model actual powerconsumption within this problem domain, and second, wecompare the relative power consumption of multiply-accumulateoperations for several customized numericalrepresentations.","Chamberlain R,Hemmeter E,Morley R,White J",,2003,2003,,modeling the power consumption of audio signal processing computations using customized numerical representations,1
58,Evaluation of Energy Consumption of Replicated Tasks in a Volunteer Computing Environment,"9,78145E+12",,10.1145/3185768.3186313,https://doi.org/10.1145/3185768.3186313;http://dx.doi.org/10.1145/3185768.3186313,Companion of the 2018 ACM/SPEC International Conference on Performance Engineering,"High Throughput Computing allows workloads of many thousands of tasks to be performed efficiently over many distributed resources and frees the user from the laborious process of managing task deployment, execution and result collection. However, in many cases the High Throughput Computing system is comprised from volunteer computational resources where tasks may be evicted by the owner of the resource. This has two main disadvantages. First, tasks may take longer to run as they may require multiple deployments before finally obtaining enough time on a resource to complete. Second, the wasted computation time will lead to wasted energy. We may be able to reduce the effect of the first disadvantage here by submitting multiple replicas of the task and take the results from the first one to complete. This, though, could lead to a significant increase in energy consumption. Thus we desire to only ever submit the minimum number of replicas required to run the task in the allocated time whilst simultaneously minimising energy. In this work we evaluate the use of fixed replica counts and Reinforcement Learning on the proportion of task which fail to finish in a given time-frame and the energy consumed by the system.","McGough AS,Forshaw M",,2018,2018,https://doi.org/10.1145/3185768.3186313;http://dx.doi.org/10.1145/3185768.3186313,evaluation of energy consumption of replicated tasks in a volunteer computing environment,1
59,Accounting for the Energy Consumption of Personal Computing Including Portable Devices,"9,78145E+12",,10.1145/1791314.1791337,https://doi.org/10.1145/1791314.1791337;http://dx.doi.org/10.1145/1791314.1791337,Proceedings of the 1st International Conference on Energy-Efficient Computing and Networking,"In light of the increased awareness of global energy consumption, questions are also being asked about the contribution of computing equipment. Though studies have documented the share of energy consumption due to these equipment over the years, these have rarely characterized the increasing share contributed by the rapidly growing portable computing segment. The portable computing device segment is widely predicted to be a dominant mode of computing and communication, and accounting for its energy consumption is necessary for energy-efficient computing in the future. This work takes a fresh and updated look at the energy consumption due to computing devices in perspective of global consumption, and pays special attention to the contribution of portable computing devices. We further quantify the impact of energy consumed by the computing sector on the environment, as well as on the electricity cost to an average residential consumer. Finally, based on the results of the study, recommendations targeted at the computer networking community are made.","Somavat P,Jadhav S,Namboodiri V",,2010,2010,https://doi.org/10.1145/1791314.1791337;http://dx.doi.org/10.1145/1791314.1791337,accounting for the energy consumption of personal computing including portable devices,1
60,Fine-Grain Compensation Method with Consideration of Trade-Offs between Computation and Data Transfer for Power Consumption,,0163-5964,10.1145/1360464.1360475,https://doi.org/10.1145/1360464.1360475;http://dx.doi.org/10.1145/1360464.1360475,,"Fine-grain parallelizing method with consideration of the number of data transfers for low power consumption is proposed. In the proposed method, power consumption by data transfers between processor elements in a multiprocessor is focused on, and the number of data transfers is reduced.In this paper, a measure based on the relationship between variables in a given program is defined to evaluate the number of data transfers, firstly. And then a proposed compensation method by use of the evaluation of power consumption based on the measure is explained. Finally, the result of applying proposed compensation method implemented on COINS framework to several example programs is shown.","Miyoshi T,Sugino N",SIGARCH Comput. Archit. News,2007,2007-12,https://doi.org/10.1145/1360464.1360475;http://dx.doi.org/10.1145/1360464.1360475,fine grain compensation method with consideration of trade offs between computation and data transfer for power consumption,1
61,Analysis of the Influences on Server Power Consumption and Energy Efficiency for CPU-Intensive Workloads,"9,78145E+12",,10.1145/2668930.2688057,https://doi.org/10.1145/2668930.2688057;http://dx.doi.org/10.1145/2668930.2688057,Proceedings of the 6th ACM/SPEC International Conference on Performance Engineering,"Energy efficiency of servers has become a significant research topic over the last years, as server energy consumption varies depending on multiple factors, such as server utilization and workload type. Server energy analysis and estimation must take all relevant factors into account to ensure reliable estimates and conclusions. Thorough system analysis requires benchmarks capable of testing different system resources at different load levels using multiple workload types. Server energy estimation approaches, on the other hand, require knowledge about the interactions of these factors for the creation of accurate power models. Common approaches to energy-aware workload classification categorize workloads depending on the resource types used by the different workloads. However, they rarely take into account differences in workloads targeting the same resources. Industrial energy-efficiency benchmarks typically do not evaluate the system's energy consumption at different resource load levels, and they only provide data for system analysis at maximum system load.In this paper, we benchmark multiple server configurations using the CPU worklets included in SPEC's Server Efficiency Rating Tool (SERT). We evaluate the impact of load levels and different CPU workloads on power consumption and energy efficiency. We analyze how functions approximating the measured power consumption differ over multiple server configurations and architectures. We show that workloads targeting the same resource can differ significantly in their power draw and energy efficiency. The power consumption of a given workload type varies depending on utilization, hardware and software configuration. The power consumption of CPU-intensive workloads does not scale uniformly with increased load, nor do hardware or software configuration changes affect it in a uniform manner.","v. Kistowski J,Block H,Beckett J,Lange KD,Arnold JA,Kounev S",,2015,2015,https://doi.org/10.1145/2668930.2688057;http://dx.doi.org/10.1145/2668930.2688057,analysis of the influences on server power consumption and energy efficiency for cpu intensive workloads,1
62,A Measurement-Based Analysis of the Energy Consumption of Data Center Servers,"9,78145E+12",,10.1145/2602044.2602061,https://doi.org/10.1145/2602044.2602061;http://dx.doi.org/10.1145/2602044.2602061,Proceedings of the 5th International Conference on Future Energy Systems,"Energy consumption is a growing issue in data centers, impacting their economic viability and their public image. In this work we empirically characterize the power and energy consumed by different types of servers. In particular, in order to understand the behavior of their energy and power consumption, we perform measurements in different servers. In each of them, we exhaustively measure the power consumed by the CPU, the disk, and the network interface under different configurations, identifying the optimal operational levels. One interesting conclusion of our study is that the curve that defines the minimal CPU power as a function of the load is neither linear nor purely convex as has been previously assumed. Moreover, we find that the efficiency of the various server components can be maximized by tuning the CPU frequency and the number of active cores as a function of the system and network load, while the block size of I/O operations should be always maximized by applications. We also show how to estimate the energy consumed by an application as a function of some simple parameters, like the CPU load, and the disk and network activity. We validate the proposed approach by accurately estimating the energy of a map-reduce computation in a Hadoop platform.","Arjona Aroca J,Chatzipapas A,Fernández Anta A,Mancuso V",,2014,2014,https://doi.org/10.1145/2602044.2602061;http://dx.doi.org/10.1145/2602044.2602061,a measurement based analysis of the energy consumption of data center servers,1
64,Power Consumption Models for Multi-Tenant Server Infrastructures,,1544-3566,10.1145/3148965,https://doi.org/10.1145/3148965;http://dx.doi.org/10.1145/3148965,,"Multi-tenant virtualized infrastructures allow cloud providers to minimize costs through workload consolidation. One of the largest costs is power consumption, which is challenging to understand in heterogeneous environments. We propose a power modeling methodology that tackles this complexity using a divide-and-conquer approach. Our results outperform previous research work, achieving a relative error of 2% on average and under 4% in almost all cases. Models are portable across similar architectures, enabling predictions of power consumption before migrating a tenant to a different hardware platform. Moreover, we show the models allow us to evaluate colocations of tenants to reduce overall consumption.","Ferroni M,Corna A,Damiani A,Brondolin R,Colmenares JA,Hofmeyr S,Kubiatowicz JD,Santambrogio MD",ACM Trans. Archit. Code Optim.,2017,2017-11,https://doi.org/10.1145/3148965;http://dx.doi.org/10.1145/3148965,power consumption models for multi tenant server infrastructures,1
65,Quantifying the Impact of Frequency Scaling on the Energy Efficiency of the Single-Chip Cloud Computer,"9,78398E+12",,,,"Proceedings of the Conference on Design, Automation and Test in Europe","Dynamic frequency and voltage scaling (DVFS) techniques have been widely used for meeting energy constraints. Single-chip many-core systems bring new challenges owing to the large number of operating points and the shift to message passing interface (MPI) from shared memory communication. DVFS, however, has been mostly studied on single-chip systems with one or few cores, without considering the impact of the communication among cores. This paper evaluates the impact of frequency scaling on the performance and power of many-core systems with MPI. We conduct experiments on the Single-Chip Cloud Computer (SCC), an experimental many-core processor developed by Intel. The paper first introduces the run-time monitoring infrastructure and the application suite we have designed for an in-depth evaluation of the SCC. We provide an extensive analysis quantifying the effects of frequency perturbations on performance and energy efficiency. Experimental results show that run-time communication patterns lead to significant differences in power/performance tradeoffs in many-core systems with MPI.","Bartolini A,Sadri M,Furst JN,Coskun AK,Benini L",,2012,2012,,quantifying the impact of frequency scaling on the energy efficiency of the single chip cloud computer,1
67,Evaluating Performance and Energy in File System Server Workloads,,,,,Proceedings of the 8th USENIX Conference on File and Storage Technologies,"Recently, power has emerged as a critical factor in designing components of storage systems, especially for power-hungry data centers. While there is some research into power-aware storage stack components, there are no systematic studies evaluating each component's impact separately. This paper evaluates the file system's impact on energy consumption and performance. We studied several popular Linux file systems, with various mount and format options, using the FileBench workload generator to emulate four server workloads: Web, database, mail, and file server. In case of a server node consisting of a single disk, CPU power generally exceeds disk-power consumption. However, file system design, implementation, and available features have a significant effect on CPU/disk utilization, and hence on performance and power. We discovered that default file system options are often suboptimal, and even poor. We show that a carefulmatching of expectedworkloads to file system types and options can improve power-performance efficiency by a factor ranging from 1.05 to 9.4 times.","Sehgal P,Tarasov V,Zadok E",,2010,2010,,evaluating performance and energy in file system server workloads,1
68,Adaptive Power Panel of Cloud Computing Controlling Cloud Power Consumption,"9,78145E+12",,10.1145/2944165.2944167,https://doi.org/10.1145/2944165.2944167;http://dx.doi.org/10.1145/2944165.2944167,Proceedings of the 2nd Africa and Middle East Conference on Software Engineering,"Cloud computing had created a new era of network design, where end-users can get their required services without having to purchase expensive infrastructure or even to care about troubleshooting. Power consumption is a challenge facing the Cloud Providers to operate their Datacenters. One solution to overcome this is the Virtual Machine (VM) migration, which is a technique used to switch under-utilized hosts to sleep mode in order to save power, and to avoid over-utilized hosts from Service Level Agreement (SLA) violation. But still the problem is that the Cloud Service Provider apply a single policy on all nodes. Our proposed solution is an adaptive power panel where different policies can be applied based on both of the nature of the tasks running on hosts, and the Cloud Provider decision.","Azmy NM,El-Maddah IA,Mohamed HK",,2016,2016,https://doi.org/10.1145/2944165.2944167;http://dx.doi.org/10.1145/2944165.2944167,adaptive power panel of cloud computing controlling cloud power consumption,1
69,Towards Server-Level Power Monitoring in Data Centers Using Single-Point Voltage Measurement,"9,78145E+12",,10.1145/3560905.3568079,https://doi.org/10.1145/3560905.3568079;http://dx.doi.org/10.1145/3560905.3568079,Proceedings of the 20th ACM Conference on Embedded Networked Sensor Systems,"Server-level power monitoring in data centers can significantly contribute to its efficient management. Nevertheless, due to the cost of a dedicated power meter for each server, most data center power management only focuses on UPS or cluster-level power monitoring. In this paper, we propose a low-cost novel power monitoring approach that uses only one sensor to extract power consumption information of all servers. We utilize the conducted electromagnetic interference of server power supplies to measure its power consumption from non-intrusive single-point voltage measurement. Using a pair of commercial grade Dell PowerEdge servers, we demonstrate that our approach can estimate each server's power consumption with 3% mean absolute percentage error.","Gupta P,Talukder Z,Islam MA,Nguyen P",,2023,2023,https://doi.org/10.1145/3560905.3568079;http://dx.doi.org/10.1145/3560905.3568079,towards server level power monitoring in data centers using single point voltage measurement,1
70,Optimizing Energy Consumption for Cloud Computing: A Cluster and Migration Based Approach (CMBA),"9,78145E+12",,10.1145/3374587.3374594,https://doi.org/10.1145/3374587.3374594;http://dx.doi.org/10.1145/3374587.3374594,Proceedings of the 2019 3rd International Conference on Computer Science and Artificial Intelligence,"The increased use of IT technologies and number of IT users have triggered cloud computing resource demand including the need for more data centers. Each data center consumes electricity for its un-interrupted operations and maintenance, therefore responsible for the emissions of carbon dioxide, a potent greenhouse gas causing climate change. Hence, there is a necessity to provide a solution through which energy consumption for cloud data centers can be reduced. As virtual machine located in data center are run under loaded to maintain higher performance but it causes wastage of resources and power. While, task overloading severally reduce the performance of data center. To address this issue, we propose CMBA (Cluster and Migration Based Approach) for cloud resource allocation that maps groups of tasks to customized virtual machine types based on processing, memory and network requirements. Proper placement of workload with specific VMs and dynamic migration concept reduce energy consumption for running physical machine and its respective host or data centers. Taking altogether, intelligent customization of virtual machines by adopting CMBA approach will maintain high efficiency of datacenters with reduced energy consumption.","Singh J,Chen J",,2020,2020,https://doi.org/10.1145/3374587.3374594;http://dx.doi.org/10.1145/3374587.3374594,optimizing energy consumption for cloud computing a cluster and migration based approach cmba,1
71,Measuring Server Energy Proportionality,"9,78145E+12",,10.1145/2668930.2688049,https://doi.org/10.1145/2668930.2688049;http://dx.doi.org/10.1145/2668930.2688049,Proceedings of the 6th ACM/SPEC International Conference on Performance Engineering,"In performance engineering, metrics are often used to track the progress over time. Concerning the potential bias of using a single metric, performance engineers tend to use multiple metrics for reasoning. However, this approach has its own challenges. In this work we study one of the challenges in the context of analyzing trends in server energy proportionality. We examine a wide range of metrics for measuring energy proportionality, trying to determine which metrics are essential and which are redundant. We do this by comparing the trend curves of the metrics for the published results of the SPECpower_ssj2008 benchmark. While the context is specific, the proposed analysis method is quite general. We hope that this method would help us do performance engineering more effectively.","Hsu CH,Poole SW",,2015,2015,https://doi.org/10.1145/2668930.2688049;http://dx.doi.org/10.1145/2668930.2688049,measuring server energy proportionality,1
72,Impact of Virtualization on Cloud Computing Energy Consumption: Empirical Study,"9,78145E+12",,10.1145/3284557.3284738,https://doi.org/10.1145/3284557.3284738;http://dx.doi.org/10.1145/3284557.3284738,Proceedings of the 2nd International Symposium on Computer Science and Intelligent Control,"Global warming, which is currently one of the greatest environmental challenges, is caused by carbon emissions. A report from the Energy Information Administration indicates that approximately 98% of CO2 emissions can be attributed to energy consumption. The trade-off between efficient and ecologically sound operation represents a major challenge faced by many organizations at present. In addition, numerous companies are currently compelled to pay a carbon tax for the resources they use and the environmental impact of their products and services. Therefore, an energy consumption system can generate actual financial payback. Green information technology involves various approaches, including power management, recycling, telecommunications, and virtualization. This paper focuses on comparing and evaluating techniques used for reducing energy consumption in virtualized environments. We first highlight the impact of virtualization techniques on minimizing energy consumption in cloud computing. Then we present an experimental comparative study between two common energy-efficient task scheduling algorithms in cloud computing (i.e., the green scheduler, the power saver scheduler). These algorithms are discussed briefly and analyzed. The three metrics used to evaluate the task scheduling algorithms are (1) total power consumption, (2) data center load, and (3) virtual machine load. This work aims to gauge and subsequently improve energy consumption efficiency in virtualized environments.","Atiewi S,Abuhussein A,Saleh MA",,2018,2018,https://doi.org/10.1145/3284557.3284738;http://dx.doi.org/10.1145/3284557.3284738,impact of virtualization on cloud computing energy consumption empirical study,1
73,A Predictive System Shutdown Method for Energy Saving of Event-Driven Computation,,1084-4309,10.1145/335043.335046,https://doi.org/10.1145/335043.335046;http://dx.doi.org/10.1145/335043.335046,,"This paper presents a system-level power management technique for energy savings of event-driven application. We present a new predictive system-shutdown method to exploit sleep mode operations for energy saving. We use an exponential-average approach to predict the upcoming idle period. We introduce two mechanisms, prediction-miss correction and prewake-up, to improve the hit ratio and to reduce the delay overhead. Experiments on four different event-driven applications show that our proposed method achieves high hit ratios in a wide range of delay overheads, which results in a high degree of energy with low delay penaties.","Hwang CH,Wu AC",ACM Trans. Des. Autom. Electron. Syst.,2000,2000-04,https://doi.org/10.1145/335043.335046;http://dx.doi.org/10.1145/335043.335046,a predictive system shutdown method for energy saving of event driven computation,1
74,A Performance-Conserving Approach for Reducing Peak Power Consumption in Server Systems,"9,7816E+12",,10.1145/1088149.1088188,https://doi.org/10.1145/1088149.1088188;http://dx.doi.org/10.1145/1088149.1088188,Proceedings of the 19th Annual International Conference on Supercomputing,"The combination of increasing component power consumption, a desire for denser systems, and the required performance growth in the face of technology-scaling issues are posing enormous challenges for powering and cooling of server systems. The challenges are directly linked to the peak power consumption of servers.Our solution, Power Shifting, reduces the peak power consumption of servers minimizing the impact on performance. We reduce peak power consumption by using workload-guided dynamic allocation of power among components incorporating real-time performance feedback, activity-related power estimation techniques, and performance-sensitive activity-regulation mechanisms to enforce power budgets.We apply our techniques to a computer system with a single processor and memory. Power shifting adds a system power manager with a dynamic, global view of the system's power consumption to continuously re-budget the available power amongst the two components. Our contributions include: Demonstration of the greater effectiveness of dynamic power allocation over static budgeting, Evaluation of different power shifting policies, Analysis of system and workload factors critical to successful power shifting, and Proposal of performance-sensitive power budget enforcement mechanisms that ensure system reliability.","Felter W,Rajamani K,Keller T,Rusu C",,2005,2005,https://doi.org/10.1145/1088149.1088188;http://dx.doi.org/10.1145/1088149.1088188,a performance conserving approach for reducing peak power consumption in server systems,1
75,A Predictive System Shutdown Method for Energy Saving of Event-Driven Computation,"9,78082E+12",,,,Proceedings of the 1997 IEEE/ACM International Conference on Computer-Aided Design,"We present a system-level power management technique for power saving of event-driven applications. We present a new predictive system shutdown method to exploit sleep mode operations for power saving. We use an exponential-average approach to predict the upcoming idle period. We introduce two mechanisms, prediction-miss correction and pre-wakeup, to improve the hit ratio and to reduce the delay overhead. Experiments on four different event-driven applications show that our proposed method achieves high hit ratios in a wide range of delay overheads, which results in a high degree of power saving with low delay penalties.","Hwang CH,Wu AC",,1997,1997,,a predictive system shutdown method for energy saving of event driven computation,1
76,Creating and Evaluating a Software Power Model for Linux Single Board Computers,"9,78145E+12",,10.1145/3194078.3194079,https://doi.org/10.1145/3194078.3194079;http://dx.doi.org/10.1145/3194078.3194079,Proceedings of the 6th International Workshop on Green and Sustainable Software,"The number of Single Board Computers (SBCs) is increasing, and so is the cumulative energy consumed by this category of device. Moreover, such devices are often always-on or running on batteries. Therefore, it is worth investigating their energy consumption to provide software developers and users with indicators for understanding how much energy the device is consuming while running a software application. In this paper, we explain a procedure for the creation of an energy consumption model of SBCs based on the usage of its components. We apply the procedure on a Raspberry PI 2 model B to test the model with a set of real applications. The results demonstrate the practical feasibility of the approach and show that estimated consumption values on our device have an average error of 2.2%, which is a good approximation without using external and expensive measuring devices.","Ardito L,Torchiano M",,2018,2018,https://doi.org/10.1145/3194078.3194079;http://dx.doi.org/10.1145/3194078.3194079,creating and evaluating a software power model for linux single board computers,1
77,Demystifying Energy Consumption Dynamics in Transiently Powered Computers,,1539-9087,10.1145/3391893,https://doi.org/10.1145/3391893;http://dx.doi.org/10.1145/3391893,,"Transiently powered computers (TPCs) form the foundation of the battery-less Internet of Things, using energy harvesting and small capacitors to power their operation. This kind of power supply is characterized by extreme variations in supply voltage, as capacitors charge when harvesting energy and discharge when computing. We experimentally find that these variations cause marked fluctuations in clock speed and power consumption. Such a deceptively minor observation is overlooked in existing literature. Systems are thus designed and parameterized in overly conservative ways, missing on a number of optimizations.We rather demonstrate that it is possible to accurately model and concretely capitalize on these fluctuations. We derive an energy model as a function of supply voltage and prove its use in two settings. First, we develop EPIC, a compile-time energy analysis tool. We use it to substitute for the constant power assumption in existing analysis techniques, giving programmers accurate information on worst-case energy consumption of programs. When using EPIC with existing TPC system support, run-time energy efficiency drastically improves, eventually leading up to a 350% speedup in the time to complete a fixed workload. Further, when using EPIC with existing debugging tools, it avoids unnecessary program changes that hurt energy efficiency. Next, we extend the MSPsim emulator and explore its use in parameterizing a different TPC system support. The improvements in energy efficiency yield up to more than 1000% time speedup to complete a fixed workload.","Ahmed S,Nawaz M,Bakar A,Bhatti NA,Alizai MH,Siddiqui JH,Mottola L",ACM Trans. Embed. Comput. Syst.,2020,2020-09,https://doi.org/10.1145/3391893;http://dx.doi.org/10.1145/3391893,demystifying energy consumption dynamics in transiently powered computers,1
78,"Estimating the Energy Consumption of Software Components from Size, Complexity and Code Smells Metrics","9,78145E+12",,10.1145/3477314.3507353,https://doi.org/10.1145/3477314.3507353;http://dx.doi.org/10.1145/3477314.3507353,Proceedings of the 37th ACM/SIGAPP Symposium on Applied Computing,"Software quality may influence energy consumption. This work presents the CCsEM green model based on Size, Complexity and Code Smells to estimate energy consumption of architecture software components without being executed. This paper details the definition of this multiple linear regression model constructed from 42 applications, and its results.","Guamán D,Pérez J,Valdiviezo-Diaz P,Canas N",,2022,2022,https://doi.org/10.1145/3477314.3507353;http://dx.doi.org/10.1145/3477314.3507353,estimating the energy consumption of software components from size complexity and code smells metrics,1
79,An Energy Consumption Model and Analysis Tool for Cloud Computing Environments,"9,78147E+12",,,,Proceedings of the First International Workshop on Green and Sustainable Software,"Cloud computing delivers computing as a utility to users worldwide. A consequence of this model is that cloud data centres have high deployment and operational costs, as well as significant carbon footprints for the environment. We need to develop Green Cloud Computing (GCC) solutions that reduce these deployment and operational costs and thus save energy and reduce adverse environmental impacts. In order to achieve this objective, a thorough understanding of the energy consumption patterns in complex Cloud environments is needed. We present a new energy consumption model and associated analysis tool for Cloud computing environments. We measure energy consumption in Cloud environments based on different runtime tasks. Empirical analysis of the correlation of energy consumption and Cloud data and computational tasks, as well as system performance, will be investigated based on our energy consumption model and analysis tool. Our research results can be integrated into Cloud systems to monitor energy consumption and support static or dynamic system-level optimisation.","Chen F,Schneider JG,Yang Y,Grundy J,He Q",,2012,2012,,an energy consumption model and analysis tool for cloud computing environments,1
80,Trace-Driven Simulation for Energy Consumption in High Throughput Computing Systems,"9,78148E+12",,10.1109/DS-RT.2014.12,https://doi.org/10.1109/DS-RT.2014.12;http://dx.doi.org/10.1109/DS-RT.2014.12,Proceedings of the 2014 IEEE/ACM 18th International Symposium on Distributed Simulation and Real Time Applications,"High Throughput Computing (HTC) is a powerful paradigm allowing vast quantities of independent work to be performed simultaneously. However, until recently little evaluation has been performed on the energy impact of HTC. Many organisations now seek to minimise energy consumption across their IT infrastructure though it is unclear how this will affect the usability of HTC systems. We present here HTC-Sim, a simulation system which allows the evaluation of different energy reduction policies across an HTC system comprising a collection of computational resources dedicated to HTC work and resources provided through cycle scavenging--a Desktop Grid. We demonstrate that our simulation software scales linearly with increasing HTC workload.","Forshaw M,Thomas N,McGough AS",,2014,2014,https://doi.org/10.1109/DS-RT.2014.12;http://dx.doi.org/10.1109/DS-RT.2014.12,trace driven simulation for energy consumption in high throughput computing systems,1
81,Experimental Analysis of Task-Based Energy Consumption in Cloud Computing Systems,"9,78145E+12",,10.1145/2479871.2479911,https://doi.org/10.1145/2479871.2479911;http://dx.doi.org/10.1145/2479871.2479911,Proceedings of the 4th ACM/SPEC International Conference on Performance Engineering,"Cloud computing delivers IT solutions as a utility to users. One consequence of this model is that large cloud data centres consume large amounts of energy and produce significant carbon footprints. A common objective of cloud providers is to develop resource provisioning and management solutions that minimise energy consumption while guaranteeing Service Level Agreements (SLAs). In order to achieve this objective, a thorough understanding of energy consumption patterns in complex cloud systems is imperative. We have developed an energy consumption model for cloud computing systems. To operationalise this model, we have conducted extensive experiments to profile the energy consumption in cloud computing systems based on three types of tasks: computation-intensive, data-intensive and communication-intensive tasks. We collected fine-grained energy consumption and performance data with varying system configurations and workloads. Our experimental results show the correlation coefficients of energy consumption, system configuration and workload, as well as system performance in cloud systems. These results can be used for designing energy consumption monitors, and static or dynamic system-level energy consumption optimisation strategies for green cloud computing systems.","Chen F,Grundy J,Yang Y,Schneider JG,He Q",,2013,2013,https://doi.org/10.1145/2479871.2479911;http://dx.doi.org/10.1145/2479871.2479911,experimental analysis of task based energy consumption in cloud computing systems,1
