,original_title,result_id,publication_info_summary,link,title,keep_title,count
1839,Non-liner energy consumption model for cloud computing,v3utlId0UNYJ,"D XIAO, Y JIA, C SHI - Journal of Beijing University of Posts and …, 2016 - journal.bupt.edu.cn",https://journal.bupt.edu.cn/EN/abstract/abstract2826.shtml,non liner energy consumption model for cloud computing,1,2
1840,Performance evaluation of distributed computing environment considering power consumption,gKtqPgGmJRAJ,"Y Ogawa, G Hasegawa, M Murata… - IEICE Technical Report; …, 2010 - ieice.org",https://www.ieice.org/ken/paper/20100305Savk/eng/,performance evaluation of distributed computing environment considering power consumption,1,1
1842,Energy Consumption Analysis of Scheduling Algorithms for Cloud Computing Systems,iwO_dINPUQgJ,"P Hovsepian, Y Tian - 2020 10th Annual Computing and …, 2020 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9031113/,energy consumption analysis of scheduling algorithms for cloud computing systems,1,1
1843,Adaptive energy-aware algorithms to minimize power consumption and sla violation in cloud computing,TNoSVJSNE9EJ,"M Singh, P Kumar, S Tyagi - Recent Advances in Computer …, 2021 - ingentaconnect.com",https://www.ingentaconnect.com/content/ben/rascs/2021/00000014/00000004/art00006,adaptive energy aware algorithms to minimize power consumption and sla violation in cloud computing,1,1
1845,Minimizing Power Consumption by Joint Radio and Computing Resource Allocation in Cloud-RAN,lRlV0Fz9k1QJ,"M Sharara, S Hoteit, V Vèque… - 2022 IEEE Symposium on …, 2022 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9912943/,minimizing power consumption by joint radio and computing resource allocation in cloud ran,1,1
1847,Trade-off between service delay and power consumption in edge-cloud computing,8WnkJA9ya3EJ,"X Wang, H Ni, R Han, X Huang - … Journal of Innovative Computing …, 2018 - ijicic.org",http://www.ijicic.org/ijicic-140603.pdf,trade off between service delay and power consumption in edge cloud computing,1,1
1849,Green cloud computing with reduced energy consumption in live migration prioritizing services,9EpidThqBdkJ,"M Rostami, S Goli - Nashriyyah-i Muhandisi-i Barq va Muhandisi-i …, 2021 - rimag.ricest.ac.ir",https://rimag.ricest.ac.ir/en/Article/28855,green cloud computing with reduced energy consumption in live migration prioritizing services,1,1
1850,Prediction of Power Consumption Utilization in a Cloud Computing Data Centre using Kalman Filter parameters with Genetic Algorithm,lLIwLGPp8iwJ,"R Afolabi, A Bamidele… - Indonesian Journal of …, 2023 - section.iaesonline.com",http://section.iaesonline.com/index.php/IJEEI/article/view/3679,prediction of power consumption utilization in a cloud computing data centre using kalman filter parameters with genetic algorithm,1,1
1852,Improvement of Energy Consumption in Cloud Computing,c_wf-yberoQJ,"HAF Almula, ME Hamza… - … Conference on Computer …, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9429615/,improvement of energy consumption in cloud computing,1,1
1853,Minimizing Terminal Energy Consumption of Task Offloading via Resource Allocation in Mobile Edge Computing,WqnsMkJnexwJ,"W Tan, K Ding, X Zhang, Z Liang… - 2022 IEEE 25th …, 2022 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9776100/,minimizing terminal energy consumption of task offloading via resource allocation in mobile edge computing,1,1
1854,Energy consumption powered by graphics processing units (GPU) in response to the number of operating computing unit,vfpVha09biMJ,"IK Huzmiev, ZA Chipirov - 2016 2nd International Conference …, 2016 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/7910995/,energy consumption powered by graphics processing units gpu in response to the number of operating computing unit,1,1
1855,A framework for computing power consumption scheduling functions under uncertainty,tbradKXWBOwJ,"O Beaude, A Agrawal… - 2015 IEEE International …, 2015 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/7436277/,a framework for computing power consumption scheduling functions under uncertainty,1,2
1856,The Green Cloud: How Cloud Computing Can Reduce Datacenter Power Consumption,bP0rQvmsr_MJ,"AM Holler - Presentation at SustainIT10, Feb, 2010 - usenix.org",https://www.usenix.org/legacy/event/sustainit10/tech/slides/holler.pdf,the green cloud how cloud computing can reduce datacenter power consumption,1,1
1857,Energy consumption and scalability evaluation for software transactional memory on a real computing environment,6qNb38diSnIJ,"TM Rico, ML Pilla, AR Du Bois… - … Performance Computing …, 2015 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/7423173/,energy consumption and scalability evaluation for software transactional memory on a real computing environment,1,1
1858,Mobile-computing based rationalization for energy consumption,uCgIT2FiC9oJ,"S Odeh, D Voskergian - 2017 International Conference on …, 2017 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/8109034/,mobile computing based rationalization for energy consumption,1,1
1859,Energy Consumption Optimization of Edge Computing Based on Reinforcement Learning,XUxutBW6qOsJ,"XY Jiang - Journal of Physics: Conference Series, 2022 - iopscience.iop.org",https://iopscience.iop.org/article/10.1088/1742-6596/2246/1/012076/meta,energy consumption optimization of edge computing based on reinforcement learning,1,1
1860,Study of performance measures and energy consumption for cloud computing centers based on queueing theory,c2-3ONdYEOYJ,"X Huang, D Wu, N Zhao - Journal of Physics: Conference Series, 2020 - iopscience.iop.org",https://iopscience.iop.org/article/10.1088/1742-6596/1631/1/012155/meta,study of performance measures and energy consumption for cloud computing centers based on queueing theory,1,1
1861,Improve energy consumption and packet scheduling for mobile edge computing,QUhkcUl-J5kJ,"Y Yang, H Zhao, X Gu - … , Signal Processing, and Systems: Proceedings of …, 2019 - Springer",https://link.springer.com/chapter/10.1007/978-981-10-6571-2_201,improve energy consumption and packet scheduling for mobile edge computing,1,1
1862,Research on Technology of Energy Consumption Optimization in Cloud Computing Platform,uHnznrbRG9kJ,"L Hao, G Cui, MC Qu, WD Ke - Applied Mechanics and Materials, 2015 - Trans Tech Publ",https://www.scientific.net/AMM.713-715.2467,research on technology of energy consumption optimization in cloud computing platform,1,1
1863,Understanding the impact of cloud computing patterns on performance and energy consumption,rgfLxn-rzhkJ,SA Abtahizadeh - 2016 - search.proquest.com,https://search.proquest.com/openview/81af5a4756ae7d88535733f99216898c/1?pq-origsite=gscholar&cbl=18750,understanding the impact of cloud computing patterns on performance and energy consumption,1,1
1864,Study of power consumption for high-performance reconfigurable computing architectures,4IZXZeAB_PwJ,BF Veale - 1999 - ttu-ir.tdl.org,https://ttu-ir.tdl.org/handle/2346/13665,study of power consumption for high performance reconfigurable computing architectures,1,1
1865,Computing centres-Reducing energy consumption for cooling; Den Energieverbrauch fuer die Kuehlung senken,jNWI-1hlhPgJ,"PT Klaentschi - HK Gebaeudetechnik, 2010 - osti.gov",https://www.osti.gov/etdeweb/biblio/22125343,computing centres reducing energy consumption for cooling den energieverbrauch fuer die kuehlung senken,1,1
1866,Energy consumption of smartphone using multimedia cloud computing,jZTVg6Xk0IkJ,"S Tiwari, V Baporikar - … of Journal of Adavance Research in …, 2014 - academia.edu",https://www.academia.edu/download/35665622/V2I7-0024.pdf,energy consumption of smartphone using multimedia cloud computing,1,1
1867,An efficient algorithm for energy consumption and load balancing in cloud computing network,PvFoLK93AQsJ,HAM Alkakjea - 2022 - openaccess.altinbas.edu.tr,http://openaccess.altinbas.edu.tr/xmlui/handle/20.500.12939/3022,an efficient algorithm for energy consumption and load balancing in cloud computing network,1,1
1868,Energy Consumption in Cloud Computing Environments,yavSBfpQhEIJ,"KM Derdus, V Omwenga, P Ogao - 2000 - academia.edu",https://www.academia.edu/download/77187505/Energy_20consumption_20in_20cloud_20computing_20environments.pdf,energy consumption in cloud computing environments,1,3
1869,Analyzing the effect of power control algorithms on the receiver's computing resource consumption,BT7I3iIJVmAJ,"I Gómez Miguelez, V Marojevic… - … Forum. SDR'10 …, 2010 - upcommons.upc.edu",https://upcommons.upc.edu/handle/2117/12590,analyzing the effect of power control algorithms on the receiver s computing resource consumption,1,1
1870,Dynamic Resource Allocation Based on Energy Consumption Using Hyped-Up Voltage Frequency Scaling Model in Cloud Computing,-RxdKsZRgagJ,"N Senthamarai, M Vijayalakshmi - Journal of Computational …, 2017 - ingentaconnect.com",https://www.ingentaconnect.com/contentone/asp/jctn/2017/00000014/00000004/art00023,dynamic resource allocation based on energy consumption using hyped up voltage frequency scaling model in cloud computing,1,1
1871,Distance Aware VM Allocation Process to Minimize Energy Consumption in Cloud Computing,DIlNjfMkPCgJ,"G Singh, M Mahajan, R Mohana - Recent Advances in …, 2021 - ingentaconnect.com",https://www.ingentaconnect.com/content/ben/rascs/2021/00000014/00000005/art00036,distance aware vm allocation process to minimize energy consumption in cloud computing,1,1
1872,Resource Management and Computing Offloading to Minimize Power Consumption Cost in Slice-MEC System,YkPm11T8cmQJ,"L Wang, X Yao, X Jiang, J Cui… - 2022 14th International …, 2022 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10039154/,resource management and computing offloading to minimize power consumption cost in slice mec system,1,1
1874,Cloud Computing Resource Dynamic Optimization Considering Load Energy Balancing Consumption.,bSYwssArecUJ,"L Zhihong, L Ivascu - Telkomnika, 2016 - search.ebscohost.com",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=16936930&AN=121213930&h=GfgymaHdULXk4QGzH9227DuVeeNEpI2BJOCyrViPXRxzbzJ8naHXqUazRxuTiKRzUTF7a%2BApZn5oZOZGUAnRdw%3D%3D&crl=c,cloud computing resource dynamic optimization considering load energy balancing consumption,1,1
1876,Application of genetic algorithm in computing the tradeoffs between power consumption versus delay in digital integrated circuit design,HVRX2l_KWzEJ,"J Sosa, JA Montiel-Nelson, S Nooshabadi - Microelectronics journal, 2010 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0026269210000194,application of genetic algorithm in computing the tradeoffs between power consumption versus delay in digital integrated circuit design,1,1
1877,Energy consumption optimization of container-oriented cloud computing center,iRX8T153PMEJ,"Z Li, Z He - … Conference on Applications and Techniques in Cyber …, 2020 - Springer",https://link.springer.com/chapter/10.1007/978-3-030-25128-4_74,energy consumption optimization of container oriented cloud computing center,1,1
1880,User power consumption cluster analysis based on cloud computing and improved K-means algorithm,dh7GnCQgHe8J,"Y Song, Y Su, H Yang - 2019 2nd International Conference on …, 2019 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9075633/,user power consumption cluster analysis based on cloud computing and improved k means algorithm,1,1
1881,Optimization of hybrid parallel application execution in heterogeneous high performance computing systems considering execution time and power consumption,SBcDRSp0VJoJ,"P Rościszewski - arXiv preprint arXiv:1809.07611, 2018 - arxiv.org",https://arxiv.org/abs/1809.07611,optimization of hybrid parallel application execution in heterogeneous high performance computing systems considering execution time and power consumption,1,1
1882,A DSL-MCDA Model for Energy Consumption-Aware in Cloud Computing,DeIGZy0OZg8J,"K Saidi, O Hioual, A Siam - 2019 International Conference on …, 2019 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9112111/,a dsl mcda model for energy consumption aware in cloud computing,1,1
1883,Delay and Energy Consumption Optimization Oriented Multi-service Cloud Edge Collaborative Computing Mechanism in IoT,7gLzXTbKuU8J,"S Shao, J Tang, S Wu, J Li… - Journal of Web …, 2021 - journals.riverpublishers.com",https://journals.riverpublishers.com/index.php/JWE/article/view/8391,delay and energy consumption optimization oriented multi service cloud edge collaborative computing mechanism in iot,1,1
1885,An Improved ANN-based Power Prediction Algorithm for Multi-type Jobs on Heterogeneous Computing Server,zf6LvDdlFF8J,"C Jing, J Li - 2022 - researchsquare.com",https://www.researchsquare.com/article/rs-1793525/latest.pdf,an improved ann based power prediction algorithm for multi type jobs on heterogeneous computing server,1,1
1886,Study of Green Algorithm in Cloud Computing for Efficient Energy Consumption,oHAHfchjwlEJ,"AP Mangaonkar, A Diggikar - … of Distributed and Cloud Computing, 2016 - academia.edu",https://www.academia.edu/download/58162332/Study_of_Green_Algorithm_in_Cloud_Computing_for_Efficient_Energy_Consumption.pdf,study of green algorithm in cloud computing for efficient energy consumption,1,1
1887,Non-liner Energy Consumption Model for Cloud Computing,eR8fwpw5ZggJ,"X Ding, JIA Ya-pu, SHI Chuan - Journal of Beijing University of …, 2016 - journal.bupt.edu.cn",https://journal.bupt.edu.cn/EN/10.13190/j.jbupt.2016.01.020,non liner energy consumption model for cloud computing,1,2
1888,"Current drift in energy efficiency cloud computing: new provocations, workload prediction, consolidation, and resource over commitment",6qxB5Dx9kw0J,"S Bajaj - … Strategies for Distributed and Cloud Computing, 2021 - igi-global.com",https://www.igi-global.com/chapter/current-drift-in-energy-efficiency-cloud-computing/275334,current drift in energy efficiency cloud computing new provocations workload prediction consolidation and resource over commitment,1,1
1889,A delay and energy consumption efficient offloading algorithm in mobile edge computing system,sE-rmMlcYZYJ,"Z Hao, Y Sun, Y Zhang - 2019 IEEE 11th International …, 2019 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/8905398/,a delay and energy consumption efficient offloading algorithm in mobile edge computing system,1,1
1890,… technologies based on miniaturization are reaching their limits and new computing paradigms are in quest to reduce power consumption and increase the …,FUsptJx5zT8J,"M Simmons - Advanced Materials, 2020 - nano.lu.se",https://www.nano.lu.se/sites/nano.lu.se/files/2022-08/Abstracts_NS166_V3.pdf,technologies based on miniaturization are reaching their limits and new computing paradigms are in quest to reduce power consumption and increase the,1,1
1891,A Study on Improving Power-Consumption Performance Ratio in GPGPU Computing,ZGJ8oVyjOHAJ,"T Matsumoto, S Yamaguchi… - … and Computing, 2011 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/6131844/,a study on improving power consumption performance ratio in gpgpu computing,1,1
1892,Eco-friendly green computing approaches for next-generation power consumption,x5j9KY1T8V0J,"S Rawat, R Mishra, P Kumar - Intelligent Computing and Information and …, 2018 - Springer",https://link.springer.com/chapter/10.1007/978-981-10-7245-1_67,eco friendly green computing approaches for next generation power consumption,1,1
1893,An Analysis of Power Consumption in Mobile Cloud Computing,GIht4JwEDfcJ,"A Rezgui, Z Malik - Cloud Computing and Services Science: 5th …, 2016 - Springer",https://link.springer.com/chapter/10.1007/978-3-319-29582-4_14,an analysis of power consumption in mobile cloud computing,1,1
1895,Computation task offloading for minimizing energy consumption with mobile edge computing,IcEZCYLD1J4J,"G Wang, Q Li, X Yu - … , Signal Processing, and Systems: Proceedings of the …, 2020 - Springer",https://link.springer.com/chapter/10.1007/978-981-13-9409-6_256,computation task offloading for minimizing energy consumption with mobile edge computing,1,1
1896,Daemon computers versus clairvoyant computers: A pure theoretical viewpoint towards energy consumption of computing,JFNqHixQb-QJ,"A Ejlali - arXiv preprint arXiv:2011.09856, 2020 - arxiv.org",https://arxiv.org/abs/2011.09856,daemon computers versus clairvoyant computers a pure theoretical viewpoint towards energy consumption of computing,1,1
1898,A novel soft computing approach based on FIR to model and predict energy dynamic systems,fi4bOYus1xMJ,S Jurado Gómez - 2020 - upcommons.upc.edu,https://upcommons.upc.edu/handle/2117/375588,a novel soft computing approach based on fir to model and predict energy dynamic systems,1,2
1899,Can Cloud Computing Reduce Data Center Power Consumption?,8yvpX4-cmSEJ,"K Christensen - Sustainability: The Journal of Record, 2013 - liebertpub.com",https://www.liebertpub.com/doi/pdf/10.1089/SUS.2013.9884,can cloud computing reduce data center power consumption,1,1
1900,Research on the Computing Network Topology Distribution Based on Energy Consumption for Cooperative Communication System,Lri2yjycKJEJ,"W Xie, B Zhou, E Liu, T Zhou - 2014 Seventh International …, 2014 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/7081975/,research on the computing network topology distribution based on energy consumption for cooperative communication system,1,1
1901,Power Consumption of Virtual Machines in Cloud Computing: Measurement and Enhancement,5Xl-Z7JvQM0J,Y Bai - 2016 - conservancy.umn.edu,https://conservancy.umn.edu/handle/11299/182708,power consumption of virtual machines in cloud computing measurement and enhancement,1,1
1902,Evaluation of Energy Consumption of Replicated Tasks in a Volunteer Computing Environment,GMOGbzSQwLgJ,"AS McGough, M Forshaw - Companion of the 2018 ACM/SPEC …, 2018 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3185768.3186313,evaluation of energy consumption of replicated tasks in a volunteer computing environment,1,1
1903,Construction and Implementation of Power Consumption Information System in Power Supply Station Area Based on Edge Computing,HdVjGhtOhtcJ,"B Dai, Y Shi, X Zhao, F Mo, R Li… - 2022 IEEE 5th …, 2022 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9994319/,construction and implementation of power consumption information system in power supply station area based on edge computing,1,1
1905,Performance Enhancement and Reduce Energy Consumption with Load Balancing Strategy in Green Cloud Computing,61obTP8_lFUJ,"HA Bheda, CS Thaker, DB Choksi - Progress in Advanced Computing and …, 2021 - Springer",https://link.springer.com/chapter/10.1007/978-981-33-4299-6_48,performance enhancement and reduce energy consumption with load balancing strategy in green cloud computing,1,1
1907,Energy Consumption Optimization Algorithm for Full-Duplex Relay-Assisted Mobile Edge Computing Systems,1H8xPuTxCdsJ,"Y XU, B GU, H XIE, Q CHEN - 电子与信息学报, 2021 - jeit.ac.cn",https://jeit.ac.cn/en/article/doi/10.11999/JEIT200937,energy consumption optimization algorithm for full duplex relay assisted mobile edge computing systems,1,1
1908,Modelling the Energy Consumption of Soft Real-Time Tasks on Heterogeneous Computing Architectures,qD-sf-7VpwIJ,"HE Zahaf, R Olejnik, G Lipari - … with Heterogenous Computing, 2016 - hal.science",https://hal.science/hal-01242681/,modelling the energy consumption of soft real time tasks on heterogeneous computing architectures,1,1
1909,Multi-Functional Micro Projection Device as Screen Substitute for Low Power Consumption Computing,HhImJ0nGd80J,"Y Kapellner, Z Zalevsky - Journal of Low Power Electronics and …, 2012 - mdpi.com",https://www.mdpi.com/32916,multi functional micro projection device as screen substitute for low power consumption computing,1,1
1910,Energy-Efficiency for Smartphones Using Interaction Link Prediction in Mobile Cloud Computing,Y6Bq6GH3yCUJ,"J Xu, C Guan, X Xu - … Work and Social Computing: 13th CCF Conference …, 2019 - Springer",https://link.springer.com/chapter/10.1007/978-981-13-3044-5_39,energy efficiency for smartphones using interaction link prediction in mobile cloud computing,1,1
1911,Energy-efficient resource allocation for edge computing based on models of power consumption,4EhThev5i6sJ,P Liu - 2018 - doras.dcu.ie,https://doras.dcu.ie/22677/,energy efficient resource allocation for edge computing based on models of power consumption,1,1
1912,Research and Application of Cloud Computing in Power Consumption Information Acquisition System,OnS0d6DDrk4J,"L Li, K Liu, S Wang, Q Hu - 2022 International Seminar on …, 2022 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9700963/,research and application of cloud computing in power consumption information acquisition system,1,1
1913,Reduction of Energy Consumption in Mobile Cloud Computing by‎ Classification of Demands and Executing in Different Data Centers,o9R6RhPL1QgJ,"H Yeganeh, A Salahi, MA Pourmina - AUT Journal of Electrical …, 2018 - eej.aut.ac.ir",https://eej.aut.ac.ir/article_2689_e6ed939bf63370960974fd3dcce914da.pdf,reduction of energy consumption in mobile cloud computing by classification of demands and executing in different data centers,1,1
1914,Cloud Computing-Based Graph Convolutional Network Power Consumption Prediction Method,fqW-qo3plzkJ,"Y Ma, H Sheng, S Wu, S Gong, H Cheng - … 19-23, 2021, Proceedings, Part I …, 2021 - Springer",https://link.springer.com/chapter/10.1007/978-3-030-78615-1_6,cloud computing based graph convolutional network power consumption prediction method,1,1
1915,Adaptive GPS Sampling Method and Design Metrics for Low Power Consumption using Cloud Computing,RQfAP9tGsicJ,"YK Lee, ST Choe, WD Cho - ITC-CSCC: International Technical …, 2015 - dbpia.co.kr",https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE06386179,adaptive gps sampling method and design metrics for low power consumption using cloud computing,1,1
1916,Energy consumption reduction by integrating Wireless Sensors and Actuators Networks Supervisory Controller with the Cloud Computing,84TC-qQ_mnEJ,"KE Bouazza, WA Deabes, HH Amin… - IECON 2016-42nd …, 2016 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/7793863/,energy consumption reduction by integrating wireless sensors and actuators networks supervisory controller with the cloud computing,1,1
1917,Joint Optimization of Execution Latency and Energy Consumption for Mobile Edge Computing with Data Compression and Task Allocation,qeAaLOnbly0J,"M Hoang Ly, T Quang Dinh, H Hoang Kha - arXiv e-prints, 2019 - ui.adsabs.harvard.edu",https://ui.adsabs.harvard.edu/abs/2019arXiv190912695H/abstract,joint optimization of execution latency and energy consumption for mobile edge computing with data compression and task allocation,1,2
1918,On the Tradeoff between Speedup and Energy Consumption in High Performance Computing–A Bioinformatics Case Study,QwZ9CleMAwsJ,"S Pawaskar, H Ali - 2008 - digitalcommons.unomaha.edu",https://digitalcommons.unomaha.edu/compsicfacproc/52/,on the tradeoff between speedup and energy consumption in high performance computing a bioinformatics case study,1,1
1919,A novel cost optimization method for mobile cloud computing by dynamic processing of demands based on their power consumption,v4szDfbD2pcJ,"H Yeganeh, A Salahi, MA Pourmina - Annals of Telecommunications, 2018 - Springer",https://link.springer.com/article/10.1007/s12243-018-0637-4,a novel cost optimization method for mobile cloud computing by dynamic processing of demands based on their power consumption,1,1
1920,An Efficient Computing Task Offloading Strategy Based on Energy Consumption and Load Balancing Degree,GUoCG2ToxL8J,"N Hu, M Xiang, C Huang, L Qin, B Yang… - … on Science and …, 2022 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10062173/,an efficient computing task offloading strategy based on energy consumption and load balancing degree,1,1
1921,Parallel Programming Approaches to Optimize Performance and Energy Consumption on Heterogeneous Computing Systems,o1z-sLa5hV4J,B Bauer - 2023 - search.proquest.com,https://search.proquest.com/openview/adeeb4a790d1bce03a5a81ee125f5ef8/1?pq-origsite=gscholar&cbl=18750&diss=y,parallel programming approaches to optimize performance and energy consumption on heterogeneous computing systems,1,1
1922,Energy Consumption Measurement and Management Method Based on Cloud Computing Environment,ktkUgP-FMLQJ,"Y Yang, J Li, L Zhu, W Lei - Environment, Resource and …, 2022 - clausiuspress.com",https://www.clausiuspress.com/article/3477.html,energy consumption measurement and management method based on cloud computing environment,1,1
1923,A framework for optimization of power consumption in mobile computing devices,Vo8UUhx1NpYJ,"F Khadim, I Noreen… - … Research Journal Of …, 2020 - search.informit.org",https://search.informit.org/doi/abs/10.3316/informit.234141935456993,a framework for optimization of power consumption in mobile computing devices,1,1
1924,The impact of vectorization on erasure code computing in cloud storages-a performance and power consumption study,CIMXOb7IA1IJ,"HB Chen, G Grider, J Inman… - … on Cloud Computing, 2015 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/7214118/,the impact of vectorization on erasure code computing in cloud storages a performance and power consumption study,1,1
1926,Power-aware game for cloud computing: A distributed mechanism based on Game Theory for minmizing power consumption in cloud scale datacenter,i4i0k7YTwVMJ,"H Khani, N Yazdani… - 6th International …, 2012 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/6483058/,power aware game for cloud computing a distributed mechanism based on game theory for minmizing power consumption in cloud scale datacenter,1,1
1929,Reducing Energy Consumption in Green Cloud Computing,jfC2fkd5zaIJ,"L Margatama - Helix-The Scientific Explorer| Peer Reviewed …, 2021 - helixscientific.pub",https://helixscientific.pub/index.php/home/article/view/357,reducing energy consumption in green cloud computing,1,1
1930,Critical review of scheduling algorithms to optimize datacentre energy consumption and environmental impact towards green cloud computing,UWzG-3ueQNsJ,P Jha - 2022 - norma.ncirl.ie,https://norma.ncirl.ie/6472/,critical review of scheduling algorithms to optimize datacentre energy consumption and environmental impact towards green cloud computing,1,1
1931,"A 6.8 TOPS/W Energy Efficiency, 1.5 µW Power Consumption, Pulse Width Modulation Neuromorphic Circuits for Near-Data Computing with SSD",QJTdn38Qys8J,"K Tsurumi, K Suzuki, K Takeuchi - 2018 IEEE Asian Solid-State …, 2018 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/8579333/,a tops w energy efficiency w power consumption pulse width modulation neuromorphic circuits for near data computing with ssd,1,1
1933,A Video Pre-Caching Scheme Based on Power Consumption on Edge Computing Environments,ZdItRAV0qxsJ,"T Yoshihisa - 2021 IEEE 10th Global Conference on Consumer …, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9622037/,a video pre caching scheme based on power consumption on edge computing environments,1,1
1935,CLOUD COMPUTING: ENERGY EFFICIENCY MANAGEMENT AND ANALYSIS OF ENERGY CONSUMPTION,WFpKVbjkV40J,DR Kunda Ramanadha Sastry - 2020 - jcreview.com,https://jcreview.com/admin/Uploads/Files/61dc3ee20e03a5.76760542.pdf,cloud computing energy efficiency management and analysis of energy consumption,1,1
1936,"Strategy for Reducing Delays and Energy Consumption in Cloudlet-Based Mobile Cloud Computing: Problems on Mobile Devices, Problem Solution, Selection of …",aRqa9ky7pyUJ,"R Alakbarov - International Journal of Wireless Networks and …, 2021 - igi-global.com",https://www.igi-global.com/article/strategy-for-reducing-delays-and-energy-consumption-in-cloudlet-based-mobile-cloud-computing/272050,strategy for reducing delays and energy consumption in cloudlet based mobile cloud computing problems on mobile devices problem solution selection of,1,1
1937,An Optimized VM Placement Approach to Reduce Energy Consumption in Green Cloud Computing,CE5Euzsx-dwJ,"H Bheda, C Thaker, S Shah - … of the International Conference on Data …, 2021 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3484824.3484894,an optimized vm placement approach to reduce energy consumption in green cloud computing,1,1
1938,Task Scheduling Strategy Based on Queueing Model in Cloud Computing and Its Energy Consumption Optimization Analysis,sGNOtz4rmfAJ,"KY Wang, HT Li - Journal of Computers, 2021 - csroc.org.tw",http://www.csroc.org.tw/journal/JOC32-5/JOC3205-07.pdf,task scheduling strategy based on queueing model in cloud computing and its energy consumption optimization analysis,1,1
1939,Bottom Design of Power Consumption Acquisition System Based on Edge Computing,otIaQBHsSw4J,"X He, S Xia, W Cai, J Zhang, Z Cheng… - 2021 13th …, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9410014/,bottom design of power consumption acquisition system based on edge computing,1,1
1940,A low power consumption secure transmission method of intelligent electric manhole cover based on edge computing,J5kGnVwqY-gJ,"H Lou, Q Ji, G Zhou, C Ye… - … Conference on Internet of …, 2022 - spiedigitallibrary.org",https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12249/1224910/A-low-power-consumption-secure-transmission-method-of-intelligent-electric/10.1117/12.2636623.short,a low power consumption secure transmission method of intelligent electric manhole cover based on edge computing,1,1
1941,Modeling Energy Consumption of Computing Systems: from Homogeneous to Heterogeneous Systems,ElIOUSOwRfsJ,VNN Tran - 2019 - munin.uit.no,https://munin.uit.no/handle/10037/16379,modeling energy consumption of computing systems from homogeneous to heterogeneous systems,1,1
1942,OPTIMIZING ENERGY CONSUMPTION OF CLOUD COMPUTING SYSTEMS,NM9DiQcZLgcJ,A Alshiekh - 2018 - diva-portal.org,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1256039,optimizing energy consumption of cloud computing systems,1,1
1945,Energy Efficiency & Consumption in Data Centre by Dynamic Resource Allocation Technique for Green Cloud Computing,11Sp_69uDTUJ,TP Sonawane - 2023 - norma.ncirl.ie,https://norma.ncirl.ie/6494/,energy efficiency consumption in data centre by dynamic resource allocation technique for green cloud computing,1,1
1946,Energy Efficient Algorithms and Power Consumption Techniques in High Performance Computing,qbQduFsig3YJ,"V Chalotra, A Bhasin, A Gupta, SS Sambyal… - arXiv preprint arXiv …, 2012 - arxiv.org",https://arxiv.org/abs/1210.7935,energy efficient algorithms and power consumption techniques in high performance computing,1,1
1947,Performance And Architecture Of Cloud Computing For Energy Consumption And Task Scheduling,IpjWhS5jKNgJ,"R Narayan, ML Kumar - Webology (ISSN: 1735-188X), 2021 - webology.org",https://www.webology.org/data-cms/articles/20220213091939pmwebology%2018%20(6)%20-%2080%20pdf.pdf,performance and architecture of cloud computing for energy consumption and task scheduling,1,1
1949,A novel soft computing approach based on fir to model and predict energy dynamic systems,E3zX7JXOrcwJ,SJ Gómez - 2020 - dialnet.unirioja.es,https://dialnet.unirioja.es/servlet/tesis?codigo=297627,a novel soft computing approach based on fir to model and predict energy dynamic systems,1,2
