,original_title,ISBNs,DOI,Publication Title,PDF Link,Abstract,Authors,Author Keywords,Publication Year,title,keep_title
182,Minimizing Power Consumption with Performance Efficiency Constraint in Web Server Clusters,978-1-4244-4746-6,10.1109/NBiS.2009.101,2009 International Conference on Network-Based Information Systems,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5350201,"Energy efficiency has become a very important issue to reduce the consumption of resources on the Earth. We have to consider how to save the energy consumption anywhere and anytime, including a large set of servers, for example, servers in the Google company. Hence, power and energy consumption has recently become key concerns, especially huge number of servers are deployed in large cluster configurations as in data centers and Web hosting facilities. Even though we emphasize power saving as much as possible, the performance of servers should be ensured. So far, there have been some discussions about enhancing power conservation. However, with the best of our knowledge, a mathematical model about consumed power and server's performance has not been discussed. Therefore, in this paper, we attempted to minimize the energy consumption with performance constraint of web servers. We know, the response time is the focus of the performance in web servers. Therefore, we first find the trade off value of load for each server based on optimized methods. With the trade off load, the performance of users can be satisfied at the same time the power consumption is minimized. Then, using the trade off load value, we propose a novel load allocation method and then discuss the effectiveness of our load allocation method by comparing with other two methods: random load allocation method and average load allocation method.",Y. Yang; N. Xiong; A. Aikebaier; T. Enokido; M. Takizawa,Power consumption;web server;performance,2009,minimizing power consumption with performance efficiency constraint in web server clusters,1
183,A Power Consumption Model of a Storage Server,978-1-4577-0789-6,10.1109/NBiS.2011.64,2011 14th International Conference on Network-Based Information Systems,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6041943,"In order to realize digital ecosystems, the total electric power consumption of servers to perform application processes has to be reduced in information systems. Applications are classified into three types, computation, communication, and storage based types. In the computation and communication types of applications, CPU and communication resources of computers are mainly consumed, respectively. In this paper, we measure how much electric power of a whole computer is consumed to perform application processes. In the storage types of applications, the electric power is consumed to read and write files in to storage drives like hard disk drive (HDD). Then, we discuss a power consumption model of a computer to perform storage application processes by abstracting most factors dominating the power consumption from the experimental results. Here, the power consumption rate of a computer is maximum if at least one process is performed. Otherwise, the power consumption rate is minimum. This is a simple power consumption model.",T. Inoue; A. Aikebaier; T. Enokido; M. Takizawa,Power consumption;Storage-based Applications;Power consumption model;Digital ecosystem,2011,a power consumption model of a storage server,1
184,Multi-server federated edge learning for low power consumption wireless resource allocation based on user QoE,,10.23919/JCN.2021.000040,Journal of Communications and Networks,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9684774,"Federated edge learning (FEL) deploys a machine learning algorithm by using devices distributed on the edge of a network, trains massive local data, uploads the local model to update the parameters after training, and performs alternate updating with global model parameters to reduce the pressure for uplink data transmission, prevent systematic time delay and ensure data security. This paper proposes that an optimal balance between time delay and energy consumption be achieved by optimizing the transmission power and bandwidth allocation based on user quality of experience (QoE) in a multi-server intelligent edge network. Given the limited computing capability of devices involved in FEL local training, the transmission power is modeled as a quasi-convex uplink power allocation (UPA) problem, and a lower energy consumption bandwidth allocation algorithm is proposed for solution-seeking. The proposed algorithm allocates appropriate power to the device by adapting the computing power and channel state of the device, thereby reducing energy consumption. As the theoretical deduction result suggests that additional bandwidth should be allocated to those devices with weak computing capabilities and poor channel conditions to realize minimal energy consumption within the restraint time. The simulation result indicates that, the maximum gain of the proposed algorithm can be optimized by 31% compared with the baseline.",T. Zhou; X. Li; C. Pan; M. Zhou; Y. Yao,Bandwidth optimization;federated edge learning;QoE;uplink power allocation,2021,multi server federated edge learning for low power consumption wireless resource allocation based on user qoe,1
185,Using a hybrid LDO regulator and a switching regulator circuit to reduce the power consumption in the light load operation of a server motherboard,978-1-4799-5829-0,10.1109/CCECE.2015.7129334,2015 IEEE 28th Canadian Conference on Electrical and Computer Engineering (CCECE),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7129334,"In this paper we propose a hybrid LDO regulator and switching regulator circuit design that uses an LDO regulator instead of a switching regulator to operate in light load. By means of this method our design reduces the power consumption of a switching regulator in light load at the input terminal, and then reduces the power consumption of the server motherboard during the operation. This design includes a microcontroller Unit (MCU) which is able to initialize, detect, judge and control both regulator operations. In addition, the MCU controls both the LDO regulator and the switching regulator in order to transition between light load and heavy load.",Y. -W. Bai; C. -H. Lin,,2015,using a hybrid ldo regulator and a switching regulator circuit to reduce the power consumption in the light load operation of a server motherboard,1
186,A self-managing strategy for balancing response time and power consumption in heterogeneous server clusters,978-1-4244-7681-7,10.1109/ICEIE.2010.5559691,2010 International Conference on Electronics and Information Engineering,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5559691,"Today, scalable servers are key elements of most information systems. Their operational requirements, like good response time, low power consumption or high availability, are more and more strict. To fulfill these requirements continuously a proper management policy must be used. But the complexity of these servers prevents the application of manual policies and the own servers must manage themselves as much as possible. Therefore, there is a growing need of self-managing techniques and systems for this type of complex servers. This paper presents a self-managing technique for balancing response time and power consumption that can be integrated and configured in any server cluster very easily.",D. F. Garcia; J. Entrialgo; J. García; M. García,server clusters;self-managing;power management;performance management,2010,a self managing strategy for balancing response time and power consumption in heterogeneous server clusters,1
187,Power consumption minimization in hybrid cooled server by fan reduction,978-1-5090-2994-5,10.1109/ITHERM.2017.7992574,2017 16th IEEE Intersociety Conference on Thermal and Thermomechanical Phenomena in Electronic Systems (ITherm),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7992574,"The energy consumption in a typical data center is rising day by day to meet the increasing demand of high compute servers resulting in high energy costs. In typical data centers, almost half of the IT energy is dedicated to cooling of the IT server racks. Hybrid cooling technology as an approach to minimize the power consumption uses of water or water based fluid to cool a high heat generating component whereas the rest of the components is cooled by air using internal fans. In this paper, our objective is to optimize the flow rate of air cooling loop of such hybrid cooled server to make data center cooling more cost effective and energy efficient. The volume of air supplied is controlled by varying the air flow rate through the internal fans. Also, the number of fans is reduced from five to three to minimize the power consumption. This finding helped us realize the 40% decrease in Fan power for each server. The pressure difference between the cold and hot aisle is created to avoid the backflow of cold air. Parameters like CPU and memory utilization were varied and temperature of different components such as processors, Dual-In-Line-Memory Module (DIMMs) & Platform Controller Hub (PCH) was monitored. When the server is running with 3 fans (approx. 10 CFM) maximum temperatures are found below the critical temperature. Further studies are also carried out through CFD analysis to observe changes in a model in 6SigmaET to increase the cooling efficiency. The study gives an idea of power savings by fan consolidation for energy efficient hybrid servers.",M. M. Islam; U. Chowdhury; N. Inamdar; D. Agonafer,Fan consolidation;Hybrid cooled servers;warm water cooling,2017,power consumption minimization in hybrid cooled server by fan reduction,1
188,Performance and Power Consumption Measurement of Java Application Servers,978-1-4673-2453-3,10.1109/MASCOTS.2012.68,"2012 IEEE 20th International Symposium on Modeling, Analysis and Simulation of Computer and Telecommunication Systems",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6298217,"In this paper, we present our in-progress project of modeling performance and power consumption of Java application servers using SPECjEnterprise2010. We run the workload on two application server using two different CPUs, AMD Phenom II and Intel Atom, and investigate performance and power consumption behaviors against the increasing system sizes. We have observed that: (1) CPU utilization draws non-linear functions of the system size and their shapes are different on Phenom and Atom. However, power consumption on both servers increase proportionally. (2) Browse transaction is the source of non-linearly in the CPU utilization. (3) Estimation of the CPU utilization from that of each transaction measured separately incurs large errors (up to 65%), while the errors in the estimation of the power consumption are relatively small (up to 4%).",H. Oi; S. Niboshi,Workload Analysis;Performance Evaluation;Power Consumption;Measurement;SPECjEnterprise2010,2012,performance and power consumption measurement of java application servers,1
189,Reducing the Power Consumption of Servers with Bandwidth Consideration,978-1-4799-5390-5,10.1109/IIH-MSP.2014.168,2014 Tenth International Conference on Intelligent Information Hiding and Multimedia Signal Processing,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6998413,"In recent years, cloud computing systems become more and more mature and cloud computing system applications are becoming more widespread. Microsoft, Google, IBM, Amazon has developed applications for the cloud computing environment. The cloud computing environment like a large pool of resources, MapReduce distribute resources in this resource pool to achieve cloud computing. Hadoop MapReduce is a distributing cloud computing system, more and many user this cloud computing system. Green Mater[1] is a resource manager in a cloud computing system which is based on Hadoop MapReduce, Green Master[1] distribute jobs out to the virtual machines with higher computing performance rather than that with lower computing performance. Green Master[2] select virtual machines which have higher performance and assign tasks and reducing virtual machines achieves power-saving effect. This paper focuses on adding network bandwidth in Green Master, we consider the transmission speed of network bandwidth into Green Master and filter out three appropriate virtual machines, and those virtual machines have better performance than Green Master select.",Y. C. Lin; W. T. Lee; J. Y. Qiu,Hadoop;MapReduce;Benchmark;Cloud Netwrok;Bandwidth,2014,reducing the power consumption of servers with bandwidth consideration,1
190,Conceptualization of Effective Algorithm for Minimizing Power Consumption in Cloud Servers,978-1-6654-8734-4,10.1109/SMART55829.2022.10046762,2022 11th International Conference on System Modeling & Advancement in Research Trends (SMART),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10046762,"There is no adequate way to describe the vastness of today's Internet data. This shows that we are now in the midst of the shift to the age of data-intensive applications. Consequently, the cloud has become essential in the current condition of affairs where we find ourselves in order to deal with this unexpected increase in data. It's common knowledge that worldwide, cloud data centres account for less than 0.01% of all power use. Companies must entirely embrace renewable sources of energy as a source of electricity to stop environmental deterioration caused by the usage of large quantities of brown energy (energy from traditional fossil fuels, such as oil or coal), to power these server factories (i.e. data centres). In this piece, we detail an algorithm for planning out cloud data centre operations such that they are both profitable and environmentally friendly. With this approach, we want to find the optimal balance between a workload's energy needs and the renewable resources available in a cloud data centre.",R. G. Tiwari; A. K. Agarwal; N. Gupta; A. Anand; N. Verma,Energy Optimization;Cloud Workload Scheduling;Cloud data centers;Job Scheduling,2022,conceptualization of effective algorithm for minimizing power consumption in cloud servers,1
193,Reduced power consumption Current-mode ADC using SAR logic for AI application,978-1-7281-8331-2,10.1109/ISOCC50952.2020.9332945,2020 International SoC Design Conference (ISOCC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9332945,"This paper introduces a new SAR logic that does not need to refer to the upper digital bits to overcome the limitation that the speed can be limited by the conversion time of the comparator by using conventional SAR logic. This proposed logic can be applied to a current-mode flash type ADC and it can be realized with a system consisting of current comparators, encoders and an input generator made up of current rectifiers. The proposed circuit has been implemented using 0.18-um CMOS technology. This circuit operates at a supply voltage of 3.3-V and its input current range is 0-100 μA. The active layout area of the 6-bit current-mode ADC is 341-μm×158 μm, The power consumption is estimated to be 2.4-mW when the input frequency is 100 kHz.",S. Park; H. Kim; D. J. Lee; T. Nho; S. Kim; D. Shim,ADC;current-mode;SAR logic,2020,reduced power consumption current mode adc using sar logic for ai application,1
194,Power-aware game for cloud computing: A distributed mechanism based on Game Theory for minmizing power consumption in cloud scale datacenter,978-1-4673-2073-3,10.1109/ISTEL.2012.6483058,6th International Symposium on Telecommunications (IST),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6483058,"The power consumption of datacenters has increased dramatically in recent years. Cloud computing accelerates this increase. The reduction of power consumption has become a challenge for cloud providers in large scale datacenters. They consolidate servers by virtualization technology as an effective remedy for huge power consumption. The management of consolidation often has been performed centrally in datacenters. We devised a distributed self-organized mechanism based on Game Theory for this purpose. In the worst case, our results are only twice as great as the theoretical minimum power consumption. In addition our mechanism could enhance the current centralized ones in two ways. Firstly, it can make decisions with less delay in response to dynamic behavior of usage patterns in cloud computing. Secondly, it can better scale up in pace with the future datacenters.",H. Khani; N. Yazdani; S. Mohammadi,Game Theory;Power Consumption;Cloud Computing;Datacenter,2012,power aware game for cloud computing a distributed mechanism based on game theory for minmizing power consumption in cloud scale datacenter,1
195,Construction and Implementation of Power Consumption Information System in Power Supply Station Area Based on Edge Computing,978-1-6654-7197-8,10.1109/AUTEEE56487.2022.9994319,"2022 IEEE 5th International Conference on Automation, Electronics and Electrical Engineering (AUTEEE)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9994319,"This paper innovatively designs a user power analysis system embedded with edge computing technology in the power Internet of Things system. The system processes massive amounts of smart electricity consumption data nearby to avoid blockage of communication channels caused by massive data transmission. The system extracts the characteristics of power distribution data flow from multiple angles. Then, the K-means clustering method is improved to meet the needs of power distribution data flow identification. By calculating the relationship between abnormal monitoring indicators and setting standard features, the abnormal power consumption monitoring results are obtained. The simulation results show that the highest accuracy rate is 95.5%, and the monitoring area is not less than 90% of the study area. Therefore, this paper believes that the proposed technology can not only provide a safe and fast control method, but also enable the system to have stronger power consumption information big data collection capabilities.",B. Dai; Y. Shi; X. Zhao; F. Mo; R. Li; D. Yang,edge computing;deep learning;K-means clustering algorithm;abnormal electricity consumption;electricity consumption monitoring;information system,2022,construction and implementation of power consumption information system in power supply station area based on edge computing,1
197,Federated Learning based Energy Demand Prediction with Clustered Aggregation,978-1-7281-8924-6,10.1109/BigComp51126.2021.00039,2021 IEEE International Conference on Big Data and Smart Computing (BigComp),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9373194,"To reduce negative environmental impacts, power stations and energy grids need to optimize the resources required for power production. Thus, predicting the energy consumption of clients is becoming an important part of every energy management system. Energy usage information collected by the clients' smart homes can be used to train a deep neural network to predict the future energy demand. Collecting data from a large number of distributed clients for centralized model training is expensive in terms of communication resources. To take advantage of distributed data in edge systems, centralized training can be replaced by federated learning where each client only needs to upload model updates produced by training on its local data. These model updates are aggregated into a single global model by the server. But since different clients can have different attributes, model updates can have diverse weights and as a result, it can take a long time for the aggregated global model to converge. To speed up the convergence process, we can apply clustering to group clients based on their properties and aggregate model updates from the same cluster together to produce a cluster specific global model. In this paper, we propose a recurrent neural network based energy demand predictor, trained with federated learning on clustered clients to take advantage of distributed data and speed up the convergence process.",Y. L. Tun; K. Thar; C. M. Thwal; C. S. Hong,energy;federated learning;recurrent neural network;clustering;long short-term memory,2021,federated learning based energy demand prediction with clustered aggregation,1
198,Down-clocking Scheme using Deep Learning for Minimizing Energy Consumption in Wireless Networks,978-1-7281-4985-1,10.1109/ICAIIC48513.2020.9065016,2020 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9065016,"Wi-Fi interface is known to consume a lot of energy in mobile devices, and Idle Listening (IL) dominates clients' energy consumption in Wi-Fi. In this paper, we propose IL down-clocking schemes using deep learning model to reduce the energy consumption in IL time. We exploit the orthogonal frequency-division multiplexing (OFDM) subcarrier addressing for the preamble design. To minimize preamble length for energy efficiency, we use a deep learning model with the recurrent neural network (RNN). Our experimental evaluation using OPNET network simulator and USRP/GNU Radio implementation shows that our scheme outperforms the state-of-the-art down-clocking scheme in both energy consumption and network throughput.",J. -H. Park; S. H. Jeong; Y. -J. Suh,Wireless Communications;Energy Efficiency;Idle Listening Adapting Clock Rate;OFDM Subcarrier;Deep Learning,2020,down clocking scheme using deep learning for minimizing energy consumption in wireless networks,1
203,Initial Data Corruption Impact on Machine Learning Models' Performance in Energy Consumption Forecast,978-1-6654-3316-7,10.1109/USSEC53120.2021.9655724,2021 Ural-Siberian Smart Energy Conference (USSEC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9655724,"The paper discusses the problem of operational risks from the application of models based on machine learning in the power industry as in the case of the power consumption forecasting problem. Currently, studies on the machine learning application in the power industry are primarily aimed at improving the accuracy, adaptive capabilities of models, selecting and preprocessing of features. At the same time, the risks at the stage of trained models' application are not given due attention, although the incorrect use of the trained models can lead to a critical deterioration in accuracy and the appearance of errors unacceptable for the models' operation. The paper considers an example of constructing XGBoost and Random Forest models for power consumption short-term forecasting of a mining enterprise, taking into account meteorological factors. Various scenarios of corruption of the initial data used by the model to form a forecast are considered. It is shown how losses and gaps in the initial data increase the power consumption forecast error, causing the risk of significant financial losses when operating on the electricity market.",A. Khalyasmaa; P. Matrenin,machine learning risks;short-term load forecasting;data preprocessing;software testing,2021,initial data corruption impact on machine learning models performance in energy consumption forecast,1
205,Machine Learning-based Analysis of correlation between Energy Consumption data of the Company and its Sales,978-1-7281-6758-9,10.1109/ICTC49870.2020.9289575,2020 International Conference on Information and Communication Technology Convergence (ICTC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9289575,"This paper has researched about the correlation between company data, and its annual sales data. Using the identified correlation, we propose a new method of predicting the company's annual sales data with energy consumption data. For this work, gradient boosting was applied to the predictive learning model for effective and better performance of prediction. To implement this method, district address-based energy consumption data is merged into company survey data with pre-processing. Then to predict the sales of each company, the gradient boosting based machine learning model has applied. Our approach to utilizing the energy consumption data can contribute to a new method of predicting the status of companies.",J. Lee; N. Kim; H. Lee; S. Park; B. Lee,Regression;Data pre-processing;Predictive-learning;Gradient Boosting;Machine Learning;Energy data,2020,machine learning based analysis of correlation between energy consumption data of the company and its sales,1
206,[1] Energy consumption clustering using machine learning: K-means approach,978-1-6654-1995-6,10.1109/ACIT53391.2021.9677130,2021 22nd International Arab Conference on Information Technology (ACIT),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9677130,"Nowadays, the accurate analysis of energy consumption has become vital for the development of efficient energy projects as well as, for demonstrating the consumptive behavior of the energy consumers in the system. The importance of this analysis comes from many reasons, one of them is that it leads to a better understanding of the system components. This paper presents a clustering algorithm for residential energy consumption using the K-Means algorithm in two different approaches. The dataset utilized in this article contains energy consumption features selected from 25 houses over a period of two years. Firstly, data cleaning has been used to remove and eliminate the inconsistent data, secondly the Elbow method has been applied to determine the optimal number of clusters before using the K-means approach for the purpose of clustering. In K-means, the data have been clustered into two different approaches. The first one is clustering the daily mean consumption in each season in each year. The second one is clustering the monthly mean consumption over the two years. Finally, data visualization has been applied in order to present the result of our proposed method. The paper finds that the households have different consumption behaviors in different seasons, days, and months and that it is due to the change of the average temperature in each season as well as the different appliances and consumptive patters of each house. The results are representative and match the aim of the paper. Further, they are significant for the further development of the energy system and efficient for tracking the consumption of the houses. Finally, the results of this paper are going to be used after running the algorithm again with a different number of clusters to compare the results and find new insights in the data that might affect the decision.",A. Al Skaif; M. Ayache; H. Kanaan,Energy Consumption;Clustering;Elbow Method;K-Means,2021,energy consumption clustering using machine learning k means approach,1
208,Profiling Energy Consumption of Deep Neural Networks on NVIDIA Jetson Nano,978-1-6654-1552-1,10.1109/IGSC51522.2020.9290876,2020 11th International Green and Sustainable Computing Workshops (IGSC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9290876,"Improving the capabilities of embedded devices and accelerators for Deep Neural Networks (DNN) leads to a shift from cloud to edge computing. Especially for battery-powered systems, intelligent energy management is critical. In this work, we provide a measurement base for power estimation on NVIDIA Jetson devices. We analyze the effects of different CPU and GPU settings on power consumption, latency, and energy for complete DNNs as well as for individual layers. Furthermore, we provide optimal settings for minimal power and energy consumption for an NVIDIA Jetson Nano.",S. Holly; A. Wendt; M. Lechner,power;energy;latency;NVIDIA;Jetson;deep neural network;profiling,2020,profiling energy consumption of deep neural networks on nvidia jetson nano,1
209,Learning and Predictive Energy Consumption Model based on LSTM recursive neural networks,978-1-7281-8084-7,10.1109/ICDS50568.2020.9268733,2020 Fourth International Conference On Intelligent Computing in Data Sciences (ICDS),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9268733,"This paper presents a new model for learning and predicting energy consumption based on recurrent neural networks. Specifically, the Long Short Time Memory (LSTM) networks. In this model, we first calculate the moving average of the energy consumption according to a window, well-chosen in accordance with the nature of the data, in order to build an approximate output of the model. Then we use a deep neural network model that combines a multitude of different types of layers to learn how to predict energy consumption in any context. To implement this model, we used the TensorFlowJS Framework in web, mobile or embedded application context. By comparing the prediction results with those obtained by the moving average, we conclude that our model has learned perfectly well how to make good predictions and we can trust it in a different context.",M. Rafik; A. Fentis; T. Khalili; M. Youssfi; O. Bouattane,Deep Learning;Energy consumption;Recurrent neural networks;LSTM,2020,learning and predictive energy consumption model based on lstm recursive neural networks,1
210,"Keynote Speaker 1: Random Neural Networks Optimise QoS, Security and Energy Consumption",978-1-6654-5465-0,10.1109/SIN56466.2022.9970552,2022 15th International Conference on Security of Information and Networks (SIN),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9970552,"Random Neural Networks (RNNs) are recurrent network models with strong machine learning capabilities that have been exploited in many applications. We will first recall their theoretical properties, including the product form solution, their capability as approximations for continuous and bounded functions and their efficient deep learning algorithms. Then we will focus on the Cognitive Packet Network (CPN) which uses RNNs to introduce AI into network algorithms to route traffic intelligently with the objective of optimizing Quality of Service (QoS), reducing energy consumption and mitigating security threats and attacks. Then we will provide experimental results showing that CPN can be implemented in various ways: through additional software resident in conventional routers, also through Software Defined Networks (SDN), or also as overlay networks.",E. GELENBE,,2022,keynote speaker random neural networks optimise qos security and energy consumption,1
213,Quantifying the Energy Efficiency Challenges of Achieving Exascale Computing,978-1-4799-8006-2,10.1109/CCGrid.2015.130,"2015 15th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7152580,"Power and performance are two potentially opposing objectives in the design of a supercomputer, where increases in performance often come at the cost of increased power consumption and vice versa. The task of simultaneously maximising both objectives is becoming an increasingly prominent challenge in the development of future exascale supercomputers. To gain some perspective on the scale of the challenge, we analyse the power and performance trends for the Top500 and Green500 supercomputer lists. We then present the PαPW metric, which we use to evaluate the scalability of power efficiency, projecting the development of an exascale system. From this analysis, we found that when both power and performance are considered, the projected date of achieving an exascale system falls far beyond the current target of 2020.",J. Mair; Z. Huang; D. Eyers; Y. Chen,,2015,quantifying the energy efficiency challenges of achieving exascale computing,1
214,Estimating the Power Consumption of an Idle Virtual Machine,978-0-7695-5046-6,10.1109/GreenCom-iThings-CPSCom.2013.63,"2013 IEEE International Conference on Green Computing and Communications and IEEE Internet of Things and IEEE Cyber, Physical and Social Computing",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6682077,"Power management has become one of the main challenges for data center infrastructures. Currently, the cost of powering a server is approaching the cost of the server hardware itself, and, in a near future, the former will continue to increase, while the latter will go down. In this context, virtualization is used to decrease the number of servers, and increase the efficiency of the remaining ones. If virtualization can be used to positively impact on the data center energy consumption, this new abstraction layer disconnects user services (hosted on a virtual machine) from their operating cost. In this paper, we propose an approach and a model to estimate the total power consumption of a virtual machine, by taking into account its static (e.g. memory) and dynamic (e.g. CPU) consumption of resources. This model permits to reconnect each VM to its corresponding operating cost, and provides more information to virtual infrastructure providers and users to optimize their infrastructure/applications. It can be observed from results of experiments that the proposed method outperforms the methods found in the literature that only consider the dynamic consumption of resources.",F. Quesnel; H. K. Mehta; J. -M. Menaud,Cloud Computing;Data Center;Energy Metering;Power Modeling and Prediction;Virtualization;Scheduling,2013,estimating the power consumption of an idle virtual machine,1
216,Energy consumption forecasting using ARIMA and neural network models,978-1-5386-2059-5,10.1109/ISEEE.2017.8170657,2017 5th International Symposium on Electrical and Electronics Engineering (ISEEE),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8170657,Energy forecast is essential for a good planning of the electricity consumption as well as for the implementation of decision support systems which can lead the decision making process of energy system. Energy consumption time series prediction problems represent a difficult type of predictive modelling problem due to the existence of complex linear and non-linear patterns. This paper presents two approaches for energy consumption forecast: an autoregressive integrated moving average (ARIMA) model and a non-linear autoregressive neural network (NAR) model. The two models are deeply described and finally compared in order to evaluate their performance.,C. Nichiforov; I. Stamatescu; I. Făgărăşan; G. Stamatescu,forecasting;energy consumption;artificial neural networks;arima;time series,2017,energy consumption forecasting using arima and neural network models,1
217,Energy consumption minimization on LoRaWAN sensor network by using an Artificial Neural Network based application,978-1-5386-7713-1,10.1109/SAS.2019.8705992,2019 IEEE Sensors Applications Symposium (SAS),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8705992,"In this paper we use an application approach to minimize the energy consumption and increase the lifetime of a LoRaWAN sensor network. In this sensor network the nodes transmission cycles are controlled by an Artificial Neural Network (ANN) based algorithm. The algorithm predicts the data of nodes and by this method the nodes can avoid data transmission and stay more in Idle mode. For implementing this algorithm and for controlling the network we use the middleware MQTT, which is compatible with The Things Network public LoRaWAN server. With this control, the nodes can, for the best case, save up to 58.91% transmissions and extend their lifetime.",R. Kromes; A. Russo; B. Miramond; F. Verdier,,2019,energy consumption minimization on lorawan sensor network by using an artificial neural network based application,1
219,Green algorithm to reduce the energy consumption in cloud computing data centres,978-1-4673-8460-5,10.1109/SAI.2016.7556035,2016 SAI Computing Conference (SAI),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7556035,"Datacentres consume incredible amounts of energy for data processing, storage and communication, which negatively impacts the environment through carbon emissions. This paper proposes a novel scheduling algorithm aimed at reducing energy consumption in cloud computing datacentres, with the objective to save the environment. It optimises Virtual Machines' (VMs') allocation and consolidation so as to improve resource utilisation of running servers and the shutdown of idle servers. The proposed algorithm was evaluated and compared with two benchmarks DVFS (Dynamic Voltage Frequency Scaling) and ESWCT (Energy-aware Scheduling algorithm using Workload-aware Consolidation Technique). The results showed a significant improvement in reducing the energy and improvement in resource utilisation.",S. M. AlIsmail; H. A. Kurdi,Cloud computing;Green computing;Energy efficiency;Power management;Virtualisation,2016,green algorithm to reduce the energy consumption in cloud computing data centres,1
220,Energy Consumption Minimization of Smart Devices for Delay-Constrained Task Processing with Edge Computing,978-1-7281-5186-1,10.1109/ICCE46568.2020.9043049,2020 IEEE International Conference on Consumer Electronics (ICCE),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9043049,"As high quality real-time service demands on smart device applications are rapidly increasing, offloading the application task to the edge server to reduce total response time is emerging as a key issue. Meanwhile, smart devices are very sensitive to the energy consumption (to maximize the battery lifetime), where various energy consumption schemes have been attempted to minimize the power profile, especially for computationally heavy tasks. In this paper, an energy consumption minimization scheme that adjusts both the offloading ratio and CPU operating frequency of the device based on a Dynamic Voltage and Frequency Scaling (DVFS) technique under delay constraint is proposed. Simulation results show that the proposed scheme minimizes the energy consumption of the device while satisfying the delay requirement.",W. Yoo; W. Yang; J. -M. Chung,Smart device;energy consumption;partial offloading;edge computing;dynamic voltage and frequency scaling,2020,energy consumption minimization of smart devices for delay constrained task processing with edge computing,1
221,Machining process energy consumption modelling using response surface methodology and neural network,978-1-5090-6199-0,10.1109/CSCWD.2017.8066724,2017 IEEE 21st International Conference on Computer Supported Cooperative Work in Design (CSCWD),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8066724,"Machining parameters influence the energy consumed during machining processes. A reliable prediction model for energy consumption will enable industry to achieving energy saving by optimizing the machining parameters during process planning stage. This paper presents a two-level optimization artificial neural network modelling method to characterizing the relationship between energy consumption and the machining parameters. On the first level, the input of the artificial neural network is optimized by the regression analysis. On the second level, the parameters of the artificial neural network are optimized by genetic-simulated annealing algorithm. The method has been tested and validated based on experimental data. The experimental results show that this modelling method can lead to a more accurate predicted of energy consumption for the given machining parameters.",X. Li; J. Lu,Energy consumption;sustainable manufacturing;regression analysis;artificial neural network,2017,machining process energy consumption modelling using response surface methodology and neural network,1
223,A study of secure data transmissions in mobile cloud computing from the energy consumption side,978-1-4673-5742-5,10.1109/ICOIN.2013.6496385,The International Conference on Information Networking 2013 (ICOIN),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6496385,"For mobile cloud computing, one of the key issues is to minimize energy consumption in data communication. Although many studies have examined energy consumption of data transmissions, they are limited in that they have focused mainly on bitstream transmissions over existing 3G networks or Wi-Fi environments. Thus, the present paper explores energy efficiency of mobile devices when transferring data securely over various communication networks including high-speed 4G networks such as LTE and Wibro.",J. -A. Hong; S. Seo; N. Kim; B. -D. Lee,4G Networks;Energy Efficiency;Mobile Cloud Computing;Security,2013,a study of secure data transmissions in mobile cloud computing from the energy consumption side,1
