"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Optimal Energy Consumption for Communication, Computation, Caching, and Quality Guarantee","F. Zafari; J. Li; K. K. Leung; D. Towsley; A. Swami","Electrical and Electronic Engineering Department, Imperial College London, London, U.K.; College of Information and Computer Sciences, University of Massachusetts, Amherst, USA; Electrical and Electronic Engineering Department, Imperial College London, London, U.K.; College of Information and Computer Sciences, University of Massachusetts, Amherst, USA; U.S. Army Research Laboratory, Adelphi, USA","IEEE Transactions on Control of Network Systems","18 Mar 2020","2020","7","1","151","162","Energy efficiency is a fundamental requirement of modern data-communication systems, and its importance is reflected in much recent work on performance analysis of system energy consumption. However, most work has only focused on communication and computation costs without accounting for data caching costs. Given the increasing interest in cache networks, this is a serious deficiency. In this paper, we consider the problem of energy consumption in data communication, computation and caching (C3) with a quality-of-information (QoI) guarantee in a communication network. Our goal is to identify the optimal data compression rates and cache placement over the network that minimizes the overall energy consumption in the network. We formulate the problem as a mixed integer nonlinear programming (MINLP) problem with nonconvex functions, which is non-deterministic polynomial-time hard (NP-hard) in general. We propose a variant of the spatial branch-and-bound algorithm (V-SBB) that can provide an $\epsilon$-global optimal solution to the problem. By extensive numerical experiments, we show that the C3 optimization framework improves the energy efficiency by up to 88% compared to any optimization that only considers either communication and caching or communication and computation. Furthermore, the V-SBB technique provides comparatively better solutions than some other MINLP solvers at the cost of additional computation time.","2325-5870","","10.1109/TCNS.2019.2913563","Army Research Laboratory; Ministry of Defence(grant numbers:W911NF-16-3-0001); EPSRC Centre for Doctoral Training in High Performance Embedded and Distributed Systems(grant numbers:EP/L016796/1); Imperial College London; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8700288","Data compression;energy efficiency;wireless sensor networks","Wireless sensor networks;Energy consumption;Data compression;Sensors;Data aggregation;Data communication;Optimization","cache storage;computational complexity;concave programming;data communication;data compression;energy conservation;energy consumption;integer programming;nonlinear programming;power aware computing;tree searching","nondeterministic polynomial-time hard;C3 optimization framework;energy efficiency;optimal energy consumption;quality guarantee;data-communication systems;system energy consumption;computation costs;data caching costs;cache networks;quality-of-information;communication network;optimal data compression rates;cache placement;mixed integer nonlinear programming problem;nonconvex functions;spatial branch-and-bound algorithm","","4","","31","IEEE","26 Apr 2019","","","IEEE","IEEE Journals"
"Reducing mobile device energy consumption with computation offloading","H. Qian; D. Andresen","Department of Computing and Information Sciences, Kansas State University, Manhattan, KS, USA; Department of Computing and Information Sciences, Kansas State University, Manhattan, KS, USA","2015 IEEE/ACIS 16th International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD)","6 Aug 2015","2015","","","1","8","The need for increased performance of mobile device directly conflicts with the desire for longer battery life. Offloading computation to multiple devices is an effective method to reduce energy consumption and enhance performance for mobile applications. Android provides mechanisms for creating mobile applications but lacks a native scheduling system for determining where code should be executed. This paper presents Jade, a system that adds sophisticated energy-aware computation offloading capabilities to Android apps. Jade monitors device and application status and automatically decides where code should be executed. Jade dynamically adjusts offloading strategy by adapting to workload variation, communication costs, and energy status in a distributed network of Android and non-Android devices. Jade minimizes the burden on developers to build applications with computation offloading ability by providing easy-to-use Jade API. Evaluation shows that Jade can effectively reduce up to 39% of average power consumption for mobile application while improving application performance.","","978-1-4799-8676-7","10.1109/SNPD.2015.7176219","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7176219","code offload;energy management;distributed computing;scheduling;mobile computing","Servers;Runtime;Mobile handsets;Programming;Engines;Mobile applications;Energy consumption","Android (operating system);application program interfaces;mobile computing;power aware computing;scheduling","mobile device energy consumption reduction;native scheduling system;energy-aware computation offloading strategy;Android application;workload variation;communication costs;nonAndroid devices;Android devices;distributed network;Jade API;power consumption;code offloading","","3","","10","IEEE","6 Aug 2015","","","IEEE","IEEE Conferences"
"Performance and Energy Consumption Evaluation of Computation Offloading Using CAOS D2D","G. B. Dos Santos; F. A. M. Trinta; P. A. L. Rego; F. A. Silva; J. N. De Souza","Software Engineering and Systems (GREat), Universidade Federal do Ceará (UFC), Fortaleza, CE, Brazil; Software Engineering and Systems (GREat), Universidade Federal do Ceará (UFC), Fortaleza, CE, Brazil; Software Engineering and Systems (GREat), Universidade Federal do Ceará (UFC), Fortaleza, CE, Brazil; Universidade Federal do Piauí (UFPI), Picos, PI, Brazil; Software Engineering and Systems (GREat), Universidade Federal do Ceará (UFC), Fortaleza, CE, Brazil","2018 IEEE Global Communications Conference (GLOBECOM)","21 Feb 2019","2018","","","1","7","With the goal of simplifying the design and development of applications that use computation offloading, we developed the CAOS D2D platform to provide an abstraction layer for dealing with low-level tasks related to offloading of methods among Android mobile devices. This paper presents experiments performed to evaluate different aspects of the CAOS D2D, such as execution time and energy consumption of devices during method offloading. Besides that, we also performed experiments to evaluate the process of applications' dependency deployment. The experiments show that computation offloading can speedup the execution time by up to 4.55 times and reduce the power consumption by up to 88% in comparison to local executions of the same methods.","2576-6813","978-1-5386-4727-1","10.1109/GLOCOM.2018.8647732","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8647732","offloading;performance;device to device","Device-to-device communication;Mobile handsets;Servers;Performance evaluation;Task analysis;Energy consumption;Cloud computing","energy consumption;mobile computing;power aware computing;power consumption","computation offloading;CAOS D2D platform;Android mobile devices;execution time;power consumption;energy consumption","","3","","18","IEEE","21 Feb 2019","","","IEEE","IEEE Conferences"
"Effect of computation offload on performance and energy consumption of mobile face recognition","N. Sumi; A. Baba; V. G. Moshnyaga","Fukuoka Daigaku, Fukuoka, Fukuoka, JP; Fukuoka Daigaku, Fukuoka, Fukuoka, JP; Fukuoka Daigaku, Fukuoka, Fukuoka, JP","2014 IEEE Workshop on Signal Processing Systems (SiPS)","18 Dec 2014","2014","","","1","7","Computation offloading is a paramount technology to leverage network resources for mobile devices. This paper studies effect of computation offloading on efficiency of mobile face recognition. It compares offloading alternatives used in existing mobile face-recognition system and reports on their efficiency in terms of energy consumption, processing time and recognition accuracy. The offloading method which leads to the best energy-performance tradeoff is outlined.","2162-3570","978-1-4799-6588-5","10.1109/SiPS.2014.6986056","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986056","face recognition;network-based system;computation offloading;performance;energy consumption;analysis","Face;Face recognition;Mobile handsets;Face detection;Servers;Mobile communication;Databases","energy consumption;face recognition;mobile computing;performance evaluation","computation offloading method;energy-performance tradeoff;energy consumption;mobile face recognition","","2","","27","IEEE","18 Dec 2014","","","IEEE","IEEE Conferences"
"Orchestration of MEC Computation Jobs and Energy Consumption Challenges in 5G and Beyond","R. Samir; H. El-Hennawy; H. M. El-Badawy","Department of Electronics and Communications, Faculty of Engineering, Ain Shams University, Cairo, Egypt; Department of Electronics and Communications, Faculty of Engineering, Ain Shams University, Cairo, Egypt; Department of Network Planning, National Telecommunications Institute, Cairo, Egypt","IEEE Access","21 Feb 2022","2022","10","","18645","18652","Mobile Edge Computing (MEC) technology philosophy inspires the next generation mobile networks to provide cloud computing capabilities in addition to a diverse range of Information Technology (IT) services with ultra-low latency and higher bandwidth at the edge. One of the most common challenges of 5G-MEC is the management and orchestration across all networks and infrastructure resources as well as end-to-end quality of experience. The decentralized architecture of MEC with independent and non-collaborative servers results in the situation of having underutilized servers with wasted energy. Moreover, the consequences of having highly utilized servers with highly consumed energy are not only the incapability to accommodate all the load of the computing jobs and the dramatic increase in the total OPEX cost, but it also creates some environmental problems. Orchestrating servers’ workload and control offloading the computation jobs is one of the technical advantages of MEC since it satisfies the increasing requirements of modern mobile applications while optimizing the energy consumption and cost. In this work, we consider cluster-based energy-aware offloading framework. The proposed work consists of dual-tier domain divided into clusters of Edge Servers  $ES_{s} $ . We have presented the results of our simulation as a proof of our concept that the formulated adaptive strategy to minimize the optimization problem calculation per cluster reduces the energy consumption and enhances the quality of experience while achieving the conservation of the related computing and storage resources cost.","2169-3536","","10.1109/ACCESS.2022.3151389","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9713879","MEC;IT;5G;OPEX (operating expense);edge servers","Servers;Costs;Energy consumption;Computational modeling;Optimization;Cloud computing;Central Processing Unit","5G mobile communication;cloud computing;cluster computing;energy consumption;mobile computing;optimisation;power aware computing","MEC computation jobs;energy consumption;mobile edge computing technology;information technology;5G-MEC;infrastructure resources;OPEX cost;orchestrating servers;cluster-based energy-aware offloading framework;edge servers;optimization","","1","","28","CCBY","14 Feb 2022","","","IEEE","IEEE Journals"
"Energy Consumption Optimization of Joint Offloading Computation Based on MD-mUAV-mBS","X. Huang; B. Li; Y. Wang; P. Kong; K. Shi; D. MA; B. Ran; B. Fan","School of Physics and Electronic-Electrical Engineering, Ningxia University, Yinchuan, China; School of Physics and Electronic-Electrical Engineering, Ningxia University, Yinchuan, China; School of Physics and Electronic-Electrical Engineering, Ningxia University, Yinchuan, China; School of Physics and Electronic-Electrical Engineering, Ningxia University, Yinchuan, China; School of Physics and Electronic-Electrical Engineering, Ningxia University, Yinchuan, China; School of Physics and Electronic-Electrical Engineering, Ningxia University, Yinchuan, China; School of Physics and Electronic-Electrical Engineering, Ningxia University, Yinchuan, China; Ningxia Electric Power Marketing Center (Metrology Center), Yinchuan, China","2022 IEEE 22nd International Conference on Communication Technology (ICCT)","27 Mar 2023","2022","","","863","868","Cloud-side-device collaborative network is the trend of B5G. Using different types of server-terminal heterogeneous networks to process terminal tasks can effectively improve network service quality, which causes to consume a quantity of energy. In order to meet the KPI requirements of future green communication, a multi-device (MD), multi-unmanned aerial vehicle (mUAV), and multi-base station (mBS) collaborative offloading computing framework is first proposed, which can jointly provide communication and computing services to users. Then, a related energy consumption model for offloading computing network is established. Next, deep deterministic policy gradient (DDPG) algorithm is explored to learn the dynamically changing wireless network information, the location for task execution, and network resources to minimize system energy consumption. Finally, the simulation results showcase the feasibility of the model. Comparisons with the system energy consumption of two benchmark strategies prove that our proposed model is effective and outperforms both benchmark strategies. The influence of different learning rates on the performance of the DDPG algorithm is further analyzed. And it can be concluded that the actor learning rate $\alpha\pi$ has a great influence on the convergence trend of the energy consumption model for offloading collaborative computing.","2576-7828","978-1-6654-7067-4","10.1109/ICCT56141.2022.10073214","National Natural Science Foundation of China(grant numbers:61301145); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10073214","Mobile Edge Computation;MD-mUAV-mBS;Joint Offloading;Energy Consumption;Optimization","Energy consumption;Computational modeling;Wireless networks;Simulation;Heuristic algorithms;Collaboration;Benchmark testing","5G mobile communication;autonomous aerial vehicles;cloud computing;deep learning (artificial intelligence);energy consumption;gradient methods;mobile computing;optimisation;resource allocation;telecommunication computing;telecommunication control;telecommunication power management","B5G;benchmark strategies;cloud-side-device collaborative network;computing services;deep deterministic policy gradient algorithm;energy consumption optimization;future green communication;joint offloading computation;KPI requirements;learning rates;MD-mUAV-mBS;multibase station collaborative offloading computing framework;multidevice multiunmanned aerial vehicle;network resources;network service quality;offloading collaborative computing;offloading computing network;process terminal tasks;related energy consumption model;server-terminal heterogeneous networks;system energy consumption;task execution;wireless network information","","","","6","IEEE","27 Mar 2023","","","IEEE","IEEE Conferences"
"Energy Consumption Minimization for Near-Far Server Cooperation in NOMA-Assisted Mobile Edge Computing System","X. Duan; B. Li; W. Zhao","Department of Electronic and Communication Engineering, North China Electric Power University, Baoding, China; Department of Electronic and Communication Engineering, North China Electric Power University, Baoding, China; Department of Electronic and Communication Engineering, North China Electric Power University, Baoding, China","IEEE Access","28 Jul 2020","2020","8","","133269","133282","Mobile edge computing (MEC) is fast becoming a key communication technique by enabling mobile users to offload their computation tasks to the edge servers. However, the computation resource of each MEC server is limited which may lead to a worse offloading experience of dense edge users. Besides, the communication and computation resources are usually unevenly distributed among different MEC servers which affect the computational efficiency of the MEC network. In this paper, we propose a non-orthogonal multiple access (NOMA) assisted MEC system with two near-far edge servers performing cooperative communication, i.e., the edge user employs NOMA to offload partial computation workloads to a nearer MEC server and a farther MEC server, then the nearer server decodes and forwards the farther server's task data by full-duplex relaying mode. Based on the above system model, we formulate an optimization problem of the total system energy consumption minimization by jointly optimizing the local CPU frequency, the power allocation for the user and nearer MEC server, the system time assignment and the task partition. Due to the optimization problem is non-convex, a joint communication and computation resource iterative optimization (JCCRIO) algorithm based on approximation and alternation is designed. Firstly, the local CPU frequency is optimized so as to transform the original problem into a simplified equivalent form. In this way, then the simplified minimization problem can be solved iteratively in two steps. Finally, we obtain the closed-form solutions to the optimization variables at each step. Numerical results show that the proposed NOMA-assisted cooperative MEC scheme is more effective against the terms of energy consumption reduction than comparable schemes.","2169-3536","","10.1109/ACCESS.2020.3010571","National Natural Science Foundation of China(grant numbers:61971190); National Natural Science Foundation of China(grant numbers:61971190); Fundamental Research Funds for the Central Universities(grant numbers:2019MS089,2017MS159); Beijing Natural Science Foundation(grant numbers:4164101); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9144588","Mobile edge computing;NOMA;server cooperation;full-duplex;joint computation and communication resources optimization","Servers;NOMA;Task analysis;Energy consumption;Optimization;Delays;Resource management","cellular radio;energy conservation;energy consumption;iterative methods;minimisation;mobile computing;multi-access systems;radiofrequency interference;resource allocation","server cooperation;NOMA-assisted mobile edge computing system;key communication technique;mobile users;computation tasks;edge servers;worse offloading experience;dense edge users;MEC servers;computational efficiency;MEC network;nonorthogonal multiple access assisted MEC system;edge user;partial computation workloads;system model;total system energy consumption minimization;local CPU frequency;system time assignment;joint communication;computation resource iterative optimization algorithm;simplified minimization problem;MEC scheme;energy consumption reduction","","4","","42","CCBY","20 Jul 2020","","","IEEE","IEEE Journals"
"Workload-Dependent Software Aging Impact on Performance and Energy Consumption in Server Virtualized Systems","M. Escheikh; Z. Tayachi; K. Barkaoui","ENIT, Tunis El Manar University, Tunis, Tunisia; ENIT, Tunis El Manar University, Tunis, Tunisia; CNAM, Cedric Laboratory, Paris, France","2016 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW)","19 Dec 2016","2016","","","111","118","Dependability modeling and performability analysis of server virtualized systems (SVSs) are today a key challenging problem to evaluate cost-effectiveness and savings in green data centers. This paper tackles various issues related to performability analysis of server virtualized system (SVS) handling workload-aware power management (PM) mechanism and subject to software aging, unplanned failures and Migrate-VM rejuvenation. In this work we develop a modeling approach based on stochastic reward nets (SRNs) to investigate dependencies between several SVS modules including virtual machine monitor (VMM), virtual machine (VM), data intensive applications and power-manageable component (PMC) with workload-aware timebased PM mechanism. We show through numerical analysis how availability, power usage and power-performance trade-off, of SVS, are impacted by aging and workload burstiness.","","978-1-5090-3601-1","10.1109/ISSREW.2016.31","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7789389","server virtualized systems;software aging;power-manageable;workload-aware timebased;stochastic reward nets","Aging;Software;Virtual machine monitors;Servers;Energy consumption;Numerical models;Power demand","computer centres;green computing;power aware computing;software performance evaluation;stochastic processes;virtual machines;virtualisation","workload burstiness;numerical analysis;workload-aware time-based PM mechanism;PMC;power-manageable component;data intensive applications;VMM;virtual machine monitoring;SVS modules;SRN;stochastic reward nets;migrate-VM rejuvenation;unplanned failures;workload-aware PM mechanism;workload-aware power management mechanism;server virtualized system;green data centers;cost-savings;cost-effectiveness;performability analysis;dependability modeling;server virtualized systems;energy consumption;workload-dependent software aging impact","","5","","17","IEEE","19 Dec 2016","","","IEEE","IEEE Conferences"
"Green Configuration: Can Artificial Intelligence Help Reduce Energy Consumption of Configurable Software Systems?","N. Siegmund; J. Dorn; M. Weber; C. Kaltenecker; S. Apel",Leipzig University; Leipzig University; Leipzig University; Saarland University; Saarland University,"Computer","15 Mar 2022","2022","55","3","74","81","Reducing energy consumption of IT systems is fundamentally important for saving cost and reducing CO2 emissions. We explain the limits of pure artificial intelligence/machine learning (ML) methods when focusing on the source code and outline a conceptual framework for combining software engineering methods and ML to build white-box energy models.","1558-0814","","10.1109/MC.2021.3120048","German Research Foundation(grant numbers:SI 2171/2,SI 2171/3-1,AP 206/11-1,389792660); German Federal Ministry of Education and Research(grant numbers:01IS19059A,01IS18026B); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9734271","","Energy consumption;Costs;Codes;Computational modeling;Emissions;Learning (artificial intelligence);Software systems","air pollution control;artificial intelligence;energy consumption;learning (artificial intelligence);software engineering","green configuration;energy consumption reduction;configurable software systems;ML;source code;software engineering methods;white-box energy models;pure artificial intelligence;machine learning methods;IT systems","","1","","20","IEEE","15 Mar 2022","","","IEEE","IEEE Magazines"
"A Thermal Energy Usage Prediction Method for Electric Thermal Storage Heaters Based on Deep Learning","W. Zi-hao; W. Jing; Z. Ling; J. Shu-juan","Data Engineering Institute, North China University of Technology, Beijing, China; Data Engineering Institute, North China University of Technology, Beijing, China; Data Engineering Institute, North China University of Technology, Beijing, China; Data Engineering Institute, North China University of Technology, Beijing, China","2019 IEEE 4th International Conference on Cloud Computing and Big Data Analysis (ICCCBDA)","30 May 2019","2019","","","149","154","The electric thermal storage heater is a new type of electronic equipment which can provide full day heating by making use of low-priced electricity provided by power plants during nighttime. However, the traditional electric thermal storage heater cannot make use of the relationship between the thermal storage time and the thermal demand of each user, which may cause energy waste when the thermal energy stored exceeds the user's demand or thermal energy shortage caused by insufficient reserve. Aiming to solve the problems, this paper presents a method for thermal energy usage prediction based on recurrent neural networks. Considering the continuous variability of environmental data, we use Bi-directional LSTM to achieve more accurate prediction results by combining the correlation between past information and future information. In addition, aiming at the problem of weight distribution, the attention mechanism is used the prediction algorithm and achieve the goal of rationally assigning weight parameters which can effectively reduce the error rate after the model is updated. Experiments show that the proposed algorithm with self-learning ability can reasonably predict the user's thermal storage time. It can effectively avoid the energy loss caused by storing too much thermal energy while satisfying the daily thermal energy needs of users.","","978-1-7281-1410-1","10.1109/ICCCBDA.2019.8725757","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8725757","smart home;Bi-LSTM;prediction system;attention mechanism","Thermal energy;Predictive models;Resistance heating;Prediction algorithms;Data models;Heat engines;Meteorology","electric heating;energy conservation;energy consumption;learning (artificial intelligence);power system analysis computing;recurrent neural nets;thermal energy storage","low-priced electricity;thermal demand;thermal energy usage prediction;electric thermal storage heater;electronic equipment;recurrent neural networks;bidirectional LSTM;daily thermal energy needs","","1","","11","IEEE","30 May 2019","","","IEEE","IEEE Conferences"
"Prediction of Individual Household Energy Bills Using Deep Learning","J. Park; M. Kim; S. Hong; Y. Jeung; I. -H. suh","Department of Electronics and Computer Engineering, Hanyang University, Seoul, Republic of Korea; Department of Electronics and Computer Engineering, Hanyang University, Seoul, Republic of Korea; Department of Intelligent Robot Engineering, Hanyang University, Seoul, Republic of Korea; Department of Electronics and Computer Engineering, Hanyang University, Seoul, Republic of Korea; Department of Electronics and Computer Engineering, Hanyang University, Seoul, Republic of Korea","2020 35th International Technical Conference on Circuits/Systems, Computers and Communications (ITC-CSCC)","1 Sep 2020","2020","","","500","504","Energy bills are one of the most significant regular payments made by any household. The accurate estimation of the energy bills can help people make better decisions on their energy use. However, it is difficult for people to predict their monthly energy bills because of many influencing factors, such as weather and progressive rates. In this paper, we propose a deep learning-based prediction method of the energy bills for individual households, considering the weather. First, we proposed a gated recurrent unit-based model that can incorporate weather and date information and predict energy usage of electricity, water, and gas. Then, a weighted mean squared error is adopted for training of the proposed model for better accuracy. Finally, the predicted energy usage using the proposed model are converted to a monthly energy bill. The proposed approach is verified on the dataset consisting of energy usage data of 2,234 households and weather data of the Korea Meteorological Administration. The results show that our approach can accurately predict the energy bills of individual households with a small average error of 3,892 won.","","978-4-88552-328-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9183282","Deep learning;Individual household energy bills prediction;Gated recurrent units","Meteorology;Predictive models;Logic gates;Machine learning;Training;Estimation;Data models","energy conservation;energy consumption;learning (artificial intelligence);mean square error methods;power engineering computing;power system economics;recurrent neural nets","individual household energy bills;deep learning-based prediction method;predicted energy usage;energy usage data;weighted mean squared error;Korea Meteorological Administration","","","","12","","1 Sep 2020","","","IEEE","IEEE Conferences"
"Energy-Aware Resource Prediction in Virtualized Data Centers: A Machine Learning Approach","A. Rayan; Y. Nah","Dankook Univeristy, Yongin-si, Korea; Dankook Univeristy, Yongin-si, Korea","2018 IEEE International Conference on Consumer Electronics - Asia (ICCE-Asia)","29 Nov 2018","2018","","","206","212","The availability and high utilization of the vast computational power in the current technological era results in a high electrical power consumption rate. This rapid growth and demand for computational power lead to the creation of large-scale data centers which have high power utilization requirements thus resulting in high operational costs. Based on these observations and analysis of machine learning for virtualized cloud data centers' this paper proposes a machine learning approach for energy-aware resource prediction in a virtualized data center environment. The proposed method utilizes the polynomial regression model to predict the likely power consumption and the number of machines that are physically needed based on the daily workload. The proposed model is also discussed.","","978-1-5386-5807-9","10.1109/ICCE-ASIA.2018.8552101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8552101","","Data centers;Power demand;Predictive models;Cloud computing;Machine learning;Data models;Mathematical model","cloud computing;computer centres;learning (artificial intelligence);power aware computing;power consumption;regression analysis;resource allocation","virtualized cloud data centers;machine learning approach;energy-aware resource prediction;operational costs;electrical power consumption rate;power utilization requirements;polynomial regression model;large-scale data centers","","2","","16","IEEE","29 Nov 2018","","","IEEE","IEEE Conferences"
"A Machine Learning Approach Applied to Energy Prediction in Job Shop Environments","M. S. Pereira; F. Lima","Industrial Engineering Department São, Centro Universitário FEI, Bernardo do Campo, SP, Brazil; Industrial Engineering Department São, Centro Universitário FEI, Bernardo do Campo, SP, Brazil","IECON 2018 - 44th Annual Conference of the IEEE Industrial Electronics Society","30 Dec 2018","2018","","","2665","2670","Energy efficiency has become a great challenge for manufacturing companies. Although it is possible to improve efficiency applying new and more efficient machines, decision makers tend to look for some less expensive alternatives. In this context, the adoption of more efficient strategies during the production planning can allow the reduction in energy consumption and associated emissions. Furthermore, the current reality of manufacturing companies, brought by Industry 4.0 concepts, requires more flexibility of production systems, thus, increasing complexity for machine rescheduling without compromising sustainable requirements. In this paper, we propose a method to predict total energy consumption in job shop systems applying machine learning techniques. Different schedules may result in different consumption rates. However, there is a nonlinear relationship between these targets. Therefore, an Artificial Neural Network (ANN) is applied for a quick estimation of total energy consumption. In order to validate the model, computational experiments, using digital manufacturing software tools, are performed on different job shop configurations to show the efficiency of the proposed model.","2577-1647","978-1-5090-6684-1","10.1109/IECON.2018.8592763","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8592763","","Energy consumption;Job shop scheduling;Training;Biological cells;Genetic algorithms;Neural networks;Manufacturing","energy conservation;energy consumption;job shop scheduling;learning (artificial intelligence);neural nets;production engineering computing;production planning","production planning;manufacturing companies;production systems;machine rescheduling;job shop configurations;Industry 4.0 concepts;Artificial Neural Network;energy efficiency;job shop environments;energy prediction;digital manufacturing software tools;machine learning techniques;job shop systems;total energy consumption","","1","","22","IEEE","30 Dec 2018","","","IEEE","IEEE Conferences"
"Prediction of Energy Consumption in Digital Twins of Intelligent Factory by Artificial Intelligence","J. Wu; Y. Dang; H. Jia; X. Liu; Z. Lv","School of Computer Science and Technology, Qingdao University, Qingdao, China; School of Computer Science and Technology, Qingdao University, Qingdao, China; School of Computer Science and Technology, Qingdao University, Qingdao, China; School of Computer Science and Technology, Qingdao University, Qingdao, China; School of Computer Science and Technology, Qingdao University, Qingdao, China","2021 International Conference on Technology and Policy in Energy and Electric Power (ICT-PEP)","17 Nov 2021","2021","","","354","359","The goal is to explore the prediction performance of energy consumption in digital twins of the intelligent factory in the process of urbanization, so that it can provide good guidance for the green development of cities. The digital twin technology is introduced into the intelligent factory, in view of the influence of life cycle, data transmission delay and other factors of the equipment on product energy consumption of intelligent factory manufacturing in the real physical environment. Meanwhile, it is improved by DL (deep learning) algorithm to construct an improved AlexNet algorithm framework. Then, DPFS (Differential Privacy Frequent Subgraph) algorithm is adopted to build a digital twin energy consumption prediction model of intelligent factory based on DL and privacy algorithm. Finally, a simulation scenario is established to verify its performance. Through the comparative analysis of the digital twin energy consumption prediction model and other scholars’ models in related fields, the feature recognition accuracy of the constructed model reaches 89.23%, at least 1.95% higher than that of other neural network models. From the perspective of energy consumption data transmission performance, the data message delivery rate of the proposed model is not less than 80%. Besides, the data message leakage rate and packet loss rate are less than 11%, and the average delay is basically stable. Therefore, the constructed model can achieve high energy consumption data transmission security performance under the premise of ensuring the prediction accuracy, which can provide experimental basis for the prediction of energy consumption and the improvement of security maintenance performance in intelligent factories.","","978-1-6654-1641-2","10.1109/ICT-PEP53949.2021.9601051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9601051","artificial intelligence;intelligent factory;digital twins;energy consumption;deep learning","Energy consumption;Analytical models;Digital twin;Predictive models;Prediction algorithms;Production facilities;Data models","data communication;data privacy;deep learning (artificial intelligence);energy consumption;production engineering computing;security of data","DPFS algorithm;digital twin energy consumption prediction model;high energy consumption data transmission security performance;artificial intelligence;prediction performance;product energy consumption;intelligent factory manufacturing;AlexNet algorithm;Differential Privacy Frequent Subgraph algorithm","","1","","32","IEEE","17 Nov 2021","","","IEEE","IEEE Conferences"
"Neural networks for energy flows prediction in facility systems","L. Frosini; G. Petrecca","Department of Electrical Engineering, University of Pavia, Pavia, Italy; Department of Electrical Engineering, University of Pavia, Pavia, Italy","SMCia/99 Proceedings of the 1999 IEEE Midnight - Sun Workshop on Soft Computing Methods in Industrial Applications (Cat. No.99EX269)","6 Aug 2002","1999","","","86","90","A procedure for the short-term prediction of the thermal energy consumption of a hospital is shown in this paper. First, linear ARX models are built in order to obtain information on the influence of the input variables on the output of the system. Therefore, nonlinear models based on feedforward neural networks (NNARX) are built using the information provided by the linear estimate. The results obtained from the ARX and NNARX models are compared, concluding that NNARX models provide better results than ARX models, but the analysis of ARX models is necessary to obtain guidelines in the choice of the best regression vector as input for the neural models.","","0-7803-5280-7","10.1109/SMCIA.1999.782713","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=782713","","Neural networks;Intelligent networks;Energy consumption;Hospitals;Energy management;Thermal management;Load forecasting;Economic forecasting;Feedforward neural networks;Power generation economics","feedforward neural nets;heat transfer;biomedical engineering;environmental engineering;space heating;autoregressive processes;power engineering computing;power consumption;forecasting theory;load forecasting","feedforward neural networks;energy flow prediction;facility systems;short-term prediction;thermal energy consumption;hospital;linear ARX models;input variables;system output;nonlinear models;NNARX models;linear estimate;regression vector","","5","","10","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
