,title,link,abstract,authors,keywords,date,isbn,doi,pub_info,title_lower,keep_title,bib,result_id,article,publisher,journal_or_book,count,data_source
2250,Hardware/Software Partitioning Algorithm under Multi-Constraints for the Optimization of Power Consumption,https://www.degruyter.com/document/doi/10.1515/9783110584998/pdf#page=600,,,,,,,"J Zhang, D Zhou, X Qiu, R Lai - Current Trends in Computer Science …, 2018 - degruyter.com",hardware software partitioning algorithm under multi constraints for the optimization of power consumption,1,0,-UmPJ19WgHkJ,,,,1,scholar
2269,Energy consumption prediction in software-defined wirelwss sensor networks.,https://www.teses.usp.br/teses/disponiveis/3/3141/tde-04052018-113551/en.php,,,,,,,"N Segura, G Alonso - teses.usp.br",energy consumption prediction in software defined wirelwss sensor networks,1,0,xd2y1lHVOZAJ,,,,1,scholar
2279,Consumption Management Software for Electric Power Suppliers,https://www.dbjournal.ro/archive/31/31_SPI.pdf#page=32,,,,,,,OBTÖR CIOBANU - DATABASE SYSTEMS - dbjournal.ro,consumption management software for electric power suppliers,1,0,JprGnaIz3f0J,,,,2,scholar
2283,Necessary conditions for creating web-based software for monitoring energy consumption,https://essuir.sumdu.edu.ua/handle/123456789/46839,,,,,,,"AV Maslivets, AL Perekrest - 2016 - essuir.sumdu.edu.ua",necessary conditions for creating web based software for monitoring energy consumption,1,0,PPdiEFAPisoJ,,,,1,scholar
2302,Balancing power consumption and reliability in the embedded systems software design,https://ieeexplore.ieee.org/abstract/document/5606368/,,,,,,,"F Vargas, CA Rocha, B Pianta - 2010 Argentine School of …, 2010 - ieeexplore.ieee.org",balancing power consumption and reliability in the embedded systems software design,1,0,uJhm_03ec6YJ,,,,1,scholar
2381,Computer software program for monitoring the availability of systems and components of electric power generating systems,https://inis.iaea.org/search/search.aspx?orig_q=RN:26006788,,,,,,,"TA Petersen, TA Hilsmeier, DM Kapinus - American power conference …, 1994 - inis.iaea.org",computer software program for monitoring the availability of systems and components of electric power generating systems,1,0,-Gvw1_-uthoJ,,,,1,scholar
2408,Simple Estimation Model and Energy-efficient Virtual Machine Migration Algorithm in a Server Cluster,https://cir.nii.ac.jp/crid/1390853649755100416,,,,,,,"R WATANABE - 法政大学大学院紀要. 理工学・工学研究科編, 2019 - cir.nii.ac.jp",simple estimation model and energy efficient virtual machine migration algorithm in a server cluster,1,0,FhmiOWuvbsUJ,,,,1,scholar
2433,Minimizing power consumption with performance efficiency constraint in web server clusters,https://ieeexplore.ieee.org/abstract/document/5350201/,,,,,,,"Y Yang, N Xiong, A Aikebaier… - … on Network-Based …, 2009 - ieeexplore.ieee.org",minimizing power consumption with performance efficiency constraint in web server clusters,1,0,FBiswcJaR5IJ,,,,1,scholar
2458,Effect of energy-saving server scheduling on power consumption for large-scale data centers,https://www.aimsciences.org/article/doi/10.3934/jimo.2016.12.667,,,,,,,"M Kato, H Masuyama, S Kasahara… - Journal of Industrial …, 2015 - aimsciences.org",effect of energy saving server scheduling on power consumption for large scale data centers,1,0,LCQfNBa8c7IJ,,,,1,scholar
2486,On Minimizing RTOS Aperiodic Tasks Server Energy Consumption,https://ieeexplore.ieee.org/abstract/document/4538772/,,,,,,,"K Dudacek - 2008 11th IEEE Workshop on Design and …, 2008 - ieeexplore.ieee.org",on minimizing rtos aperiodic tasks server energy consumption,1,0,B9aezD2475gJ,,,,1,scholar
2531,Power consumption-aware virtual machine placement in cloud data center,https://ieeexplore.ieee.org/abstract/document/7973189/,,,,,,,"G Portaluri, D Adami, A Gabbrielli… - IEEE Transactions …, 2017 - ieeexplore.ieee.org",power consumption aware virtual machine placement in cloud data center,1,0,xExVWGxVz0AJ,,,,1,scholar
2549,Bayes Theorem Based Virtual Machine Scheduling for Optimal Energy Consumption.,https://cdn.techscience.cn/ueditor/files/csse/TSP_CSSE-43-1/TSP_CSSE_23706/TSP_CSSE_23706.pdf,,,,,,,"R Swathy, B Vinayagasundaram - Computer Systems Science & …, 2022 - cdn.techscience.cn",bayes theorem based virtual machine scheduling for optimal energy consumption,1,0,GQtafjSmfpIJ,,,,1,scholar
2551,Retraction Note: Energy consumption analysis of Virtual Machine migration in cloud using hybrid swarm optimization (ABC–BA),https://link.springer.com/article/10.1007/s11227-022-04860-2,,,,,,,"K Karthikeyan, R Sunder, K Shankar… - 2023 - Springer",retraction note energy consumption analysis of virtual machine migration in cloud using hybrid swarm optimization abc ba,1,0,2psvaGXpfgEJ,,,,1,scholar
2576,Scheduling algorithms for federated learning with minimal energy consumption,https://ieeexplore.ieee.org/abstract/document/10032558/,,,,,,,"LL Pilla - IEEE Transactions on Parallel and Distributed …, 2023 - ieeexplore.ieee.org",scheduling algorithms for federated learning with minimal energy consumption,1,0,6_MYrun_6ngJ,,,,2,scholar
