Item type;Authors;Title;Journal;Publication year;Volume;Issue;Pages;Publisher;Address;Book title;Proceedings title;Conference location;Date published;ISBN;ISSN;URLs;DOI;Abstract;Keywords;Notes;Series
Conference Paper;Al Qathrady M,Helmy A;Improving BLE Distance Estimation and Classification Using TX Power and Machine Learning: A Comparative Analysis;;2017;;;79–83;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 20th ACM International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems;Miami, Florida, USA;2017;9,78145E+12;;"https://doi.org/10.1145/3127540.3127577;http://dx.doi.org/10.1145/3127540.3127577";10.1145/3127540.3127577;Distance estimation and proximity classification techniques are essential for numerous IoT applications and in providing efficient services in smart cities. Bluetooth Low Energy (BLE) is designed for IoT devices, and its received signal strength indicator (RSSI) has been used in distance and proximity estimation, though they are noisy and unreliable. In this study, we leverage the BLE TX power level in BLE models.We adopt a comparative analysis framework that utilizes our extensive data library of measurements. It considers commonly used state-of-the-art model, in addition to our data-driven proposed approach. The RSSI and TX power are integrated into several parametric models such as log shadowing and Android Beacon library models, and machine learning models such as linear regression, decision trees, random forests and neural networks. Specific mobile apps are developed for the study experiment. We have collected more than 1.8 millions of BLE records between encounters with various distances that range from 0.5 to 22 meters in an indoor environment. Interestingly, considering TX power when estimating the distance reduced the mean errors by up to 46% in parametric models and by up to 35% in machine learning models. Also, the proximity classification accuracy increased by up to 103% and 70% in parametric and machine learning models, respectively. This work is one of the first studies (if not the first) that analyze in depth the TX power variations in improving the distance estimation and classification.;ble, distance estimation, iot, proximity classification;;MSWiM '17
Conference Paper;Bergen A,Desmarais R,Ganti S,Stege U;Towards Software-Adaptive Green Computing Based on Server Power Consumption;;2014;;;9–16;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 3rd International Workshop on Green and Sustainable Software;Hyderabad, India;2014;9,78145E+12;;"https://doi.org/10.1145/2593743.2593745;http://dx.doi.org/10.1145/2593743.2593745";10.1145/2593743.2593745;With the proliferation of virtualization and cloud comput- ing, optimizing the power usage effectiveness of enterprise data centers has become a laudable goal and a critical re- quirement in IT operations all over the world. While a sig- nificant body of research exists to measure, monitor, and control the greenness level of hardware components, signif- icant research efforts are needed to relate hardware energy consumption to energy consumption due to program exe- cution. In this paper we report on our investigations to characterize power consumption profiles for different types of compute and memory intensive software applications. In particular, we focus on studying the effects of CPU loads on the power consumption of compute servers by monitoring rack power consumption in a data center. We conducted a series of experiments with a variety of processes of differ- ent complexity to understand and characterize the effect on power consumption. Combining processes of varying com- plexity with varying resource allocations produces different energy consumption levels. The challenge is to optimize pro- cess orchestration based on a power consumption framework to accrue energy savings. Our ultimate goal is to develop smart adaptive green computing techniques, such as adap- tive job scheduling and resource provisioning, to reduce over- all power consumption in data centers or clouds.;cloud computing, data centers, Power consumption measurments, power consumption framework, green-aware, power application pro- files, self-adaptive green computing;;GREENS 2014
Conference Paper;Shoukourian H,Wilde T,Auweter A,Bode A,Tafani D;Predicting Energy Consumption Relevant Indicators of Strong Scaling HPC Applications for Different Compute Resource Configurations;;2015;;;115–126;Society for Computer Simulation International;San Diego, CA, USA;;Proceedings of the Symposium on High Performance Computing;Alexandria, Virginia;2015;9,78151E+12;;;;"Finding the best energy-performance tradeoffs for High Performance Computing (HPC) applications is a major challenge for many modern supercomputing centers. With the increased focus on data center energy efficiency and the emergence of possible data center power constraints, making the right decision at a given time is becoming more important. A real-world situation like ""can a given 1000 compute node application be executed at a maximum of 2.7 GHz CPU frequency without going over the energy provider defined power band, or the available monthly energy limit?"" is just one example of the types of decisions HPC data centers will face. The previously developed Adaptive Energy and Power Consumption Prediction (AEPCP) model answers this question for the case of a fixed CPU frequency. This paper will extend the AEPCP process to enable the development of analytical models for estimating application execution time, power, and energy consumptions as functions of the number of compute nodes and maximum operating CPU frequency. Based on these analytical models, an adaptive model (Lightweight Adaptive Consumption Prediction (LACP)) is presented that implements the extended prediction process. This information allows for improved estimation of potential energy-performance costs and tradeoffs of applications and thus identifies the optimal resource configuration for specific data center boundary conditions.";LACP, HPC, power and energy capping, consumption modeling and prediction, compute node number and CPU frequency;;HPC '15
Journal Article;Wu TH,Lin PC,Chou HH,Shen MR,Hsieh SY;Pathogenicity Prediction of Single Amino Acid Variants With Machine Learning Model Based on Protein Structural Energies;IEEE/ACM Trans. Comput. Biol. Bioinformatics;2022;20;1;606–615;IEEE Computer Society Press;Washington, DC, USA;;;;2022-12;;1545-5963;"https://doi.org/10.1109/TCBB.2021.3139048;http://dx.doi.org/10.1109/TCBB.2021.3139048";10.1109/TCBB.2021.3139048;The most popular tools for predicting pathogenicity of single amino acid variants (SAVs) were developed based on sequence-based techniques. SAVs may change protein structure and function. In the context of van der Waals force and disulfide bridge calculations, no method directly predicts the impact of mutations on the energies of the protein structure. Here, we combined machine learning methods and energy scores of protein structures calculated by Rosetta Energy Function 2015 to predict SAV pathogenicity. The accuracy level of our model (0.76) is higher than that of six prediction tools. Further analyses revealed that the differential reference energies, attractive energies, and solvation of polar atoms between wildtype and mutant side-chains played essential roles in distinguishing benign from pathogenic variants. These features indicated the physicochemical properties of amino acids, which were observed in 3D structures instead of sequences. We added 16 features to Rhapsody (the prediction tool we used for our data set) and consequently improved its performance. The results indicated that these energy scores were more appropriate and more detailed representations of the pathogenicity of SAVs.;;;
Conference Paper;Liu N,Ding C,Wang Y,Hu J;Neural Network-Based Prediction Algorithms for In-Door Multi-Source Energy Harvesting System for Non-Volatile Processors;;2016;;;275–280;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 26th Edition on Great Lakes Symposium on VLSI;Boston, Massachusetts, USA;2016;9,78145E+12;;"https://doi.org/10.1145/2902961.2903037;http://dx.doi.org/10.1145/2902961.2903037";10.1145/2902961.2903037;Due to size, longevity, safety, and recharging concerns, energy harvesting is becoming a better choice for many wearable embedded systems than batteries. However, harvested energy is intrinsically unstable. In order to overcome this drawback, non-volatile processors (NVPs) have been proposed to bridge intermittent program execution. However, even with NVPs, frequent power interruptions will severely degrade system performance. Hence, in this paper we adopt a multi-source in-door energy harvesting architecture to compensate the shortcoming of single energy source. We further investigate power harvesting prediction techniques, which are critical for NVP systems since they can coordinate with task scheduler in the NVP system to compensate the intermittent ambient energy harvesting. We investigate prediction methods both for single energy harvesting source and for multiple energy harvesting sources, the total output power of which is more stable compared with the single source case. A comprehensive evaluation framework has been developed using actually measured harvesting traces on the proposed neural network-based power harvesting prediction methods. It turns out that the most favorable prediction methods are directly predicting the total output power of DC-DC converters (connecting between energy sources and NVP), or predicting the total input power of DC-DC converters first and then inferring the total output power using a learned mapping function, for multi-source power harvesting predictions.;energy harvesting, neural network, non-volatile processors, multiple energy source;;GLSVLSI '16
Conference Paper;Basmadjian R,Ali N,Niedermeier F,de Meer H,Giuliani G;A Methodology to Predict the Power Consumption of Servers in Data Centres;;2011;;;1–10;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2nd International Conference on Energy-Efficient Computing and Networking;New York, New York, USA;2011;9,78145E+12;;"https://doi.org/10.1145/2318716.2318718;http://dx.doi.org/10.1145/2318716.2318718";10.1145/2318716.2318718;Until recently, there have been relatively few studies exploring the power consumption of ICT resources in data centres. In this paper, we propose a methodology to capture the behaviour of most relevant energy-related ICT resources in data centres and present a generic model for them. This is achieved by decomposing the design process into four modelling phases. Furthermore, unlike the state-of-the-art approaches, we provide detailed power consumption models at server and storage levels. We evaluate our model for different types of servers and show that it suffers from an error rate of 2% in the best case, and less than 10% in the worst case.;IT resources, power consumption, modelling, data centre;;e-Energy '11
Conference Paper;von Kistowski J,Grohmann J,Schmitt N,Kounev S;Predicting Server Power Consumption from Standard Rating Results;;2019;;;301–312;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2019 ACM/SPEC International Conference on Performance Engineering;Mumbai, India;2019;9,78145E+12;;"https://doi.org/10.1145/3297663.3310298;http://dx.doi.org/10.1145/3297663.3310298";10.1145/3297663.3310298;Data center providers and server operators try to reduce the power consumption of their servers. Finding an energy efficient server for a specific target application is a first step in this regard. Estimating the power consumption of an application on an unavailable server is difficult, as nameplate power values are generally overestimations. Offline power models are able to predict the consumption accurately, but are usually intended for system design, requiring very specific and detailed knowledge about the system under consideration.In this paper, we introduce an offline power prediction method that uses the results of standard power rating tools. The method predicts the power consumption of a specific application for multiple load levels on a target server that is otherwise unavailable for testing. We evaluate our approach by predicting the power consumption of three applications on different physical servers. Our method is able to achieve an average prediction error of 9.49% for three workloads running on real-world, physical servers.;interpolation, power, regression, energy efficiency, prediction, performance, benchmarking, load level;;ICPE '19
Conference Paper;Rivero L,Diniz J,Silva G,Borralho G,Braz Junior G,Paiva A,Alves E,Oliveira M;Deployment of a Machine Learning System for Predicting Lawsuits Against Power Companies: Lessons Learned from an Agile Testing Experience for Improving Software Quality;;2021;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the XIX Brazilian Symposium on Software Quality;São Luís, Brazil;2021;9,78145E+12;;"https://doi.org/10.1145/3439961.3439991;http://dx.doi.org/10.1145/3439961.3439991";10.1145/3439961.3439991;"The advances in Machine Learning (ML) require software organizations to evolve their development processes in order to improve the quality of ML systems. Within the software development process, the testing stage of an ML system is more critical, considering that it is necessary to add data validation, trained model quality evaluation, and model validation to traditional unit, integration tests and system tests. In this paper, we focus on reporting the lessons learned of using model testing and exploratory testing within the context of the agile development process of an ML system that predicts lawsuits proneness in energy supply companies. Through the development of the project, the SCRUM agile methodology was applied and activities related to the development of the ML model and the development of the end-user application were defined. After the testing process of the ML model, we managed to achieve 93.89 accuracy; 95.58 specificity; 88.84 sensitivity; and 87.09 precision. Furthermore, we focused on the quality of use of the application embedding the ML model, by carrying out exploratory testing. As a result, through several iterations, different types of defects were identified and corrected. Our lessons learned support software engineers willing to develop ML systems that consider both the ML model and the end-user application.";and Tools, Methods, Verification, Software Processes, and Testing, Validation;;SBQS '20
Conference Paper;Palma I,Ladeira M,Reis AC;Machine Learning Predictive Model for the Passive Transparency at the Brazilian Ministry of Mines and Energy;;2021;;;76–81;Association for Computing Machinery;New York, NY, USA;;DG.O2021: The 22nd Annual International Conference on Digital Government Research;Omaha, NE, USA;2021;9,78145E+12;;"https://doi.org/10.1145/3463677.3463715;http://dx.doi.org/10.1145/3463677.3463715";10.1145/3463677.3463715;This paper presents a case study based on the CRISP-DM Model and the use of Text Mining tools and techniques to automate the Passive Transparency process at the Brazilian Ministry of Mines and Energy. Thus, a Machine Learning Model is proposed to predict the class of the technical unit responsible for the data/information requested by citizens. Through the application of the algorithm LDA and TF-IDF it was possible to map the topics of the most relevant subjects for society. The stability of the model was tested from the comparative analysis between 5 known classification algorithms (Random Forest, Multinomial NB, Linear SVC, Logistic Regression, XGBoost and Gradient Boosting). XGBoost presented better performance and precision in multiclass learning outcomes.;Passive Transparency, Predictive Analisys and XGBoost., Topic Modeling, Multicriteria Decision Making, Machine Learning Algorithms;;DG.O'21
Conference Paper;Dariol Q,Le Nours S,Helms D,Stemmer R,Pillement S,Grüttner K;Fast Yet Accurate Timing and Power Prediction of Artificial Neural Networks Deployed on Clock-Gated Multi-Core Platforms;;2023;;;79–86;Association for Computing Machinery;New York, NY, USA;;Proceedings of the DroneSE and RAPIDO: System Engineering for Constrained Embedded Systems;Toulouse, France;2023;;;"https://doi.org/10.1145/3579170.3579263;http://dx.doi.org/10.1145/3579170.3579263";10.1145/3579170.3579263;When deploying Artificial Neural Networks (ANNs) onto multi-core embedded platforms, an intensive evaluation flow is necessary to find implementations that optimize resource usage, timing and power. ANNs require indeed significant amounts of computational and memory resources to execute, while embedded execution platforms offer limited resources with strict power budget. Concurrent accesses from processors to shared resources on multi-core platforms can lead to bottlenecks with impact on performance and power. Existing approaches show limitations to deliver fast yet accurate evaluation ahead of ANN deployment on the targeted hardware. In this paper, we present a modeling flow for timing and power prediction in early design stage of fully-connected ANNs on multi-core platforms. Our flow offers fast yet accurate predictions with consideration of shared communication resources and scalability in regards of the number of cores used. The flow is evaluated on real measurements for 42 mappings of 3 fully-connected ANNs executed on a clock-gated multi-core platform featuring two different communication modes: polling or interrupt-based. Our modeling flow predicts timing with accuracy and power with accuracy on the tested mappings for an average simulation time of 0.23 s for 100 iterations. We then illustrate the application of our approach for efficient design space exploration of ANN implementations.;System Level Simulation, Power Model, Multi-Core, Artificial Neural Networks;;RAPIDO '23
Journal Article;Dey S,Nandi S,Trivedi G;Machine Learning Approach for Fast Electromigration Aware Aging Prediction in Incremental Design of Large Scale On-Chip Power Grid Network;ACM Trans. Des. Autom. Electron. Syst.;2020;25;5;;Association for Computing Machinery;New York, NY, USA;;;;2020-07;;1084-4309;"https://doi.org/10.1145/3399677;http://dx.doi.org/10.1145/3399677";10.1145/3399677;With the advancement of technology nodes, Electromigration (EM) signoff has become increasingly difficult, which requires a considerable amount of time for an incremental change in the power grid (PG) network design in a chip. The traditional Black’s empirical equation and Blech’s criterion are still used for EM assessment, which is a time-consuming process. In this article, for the first time, we propose a machine learning (ML) approach to obtain the EM-aware aging prediction of the PG network. We use neural network--based regression as our core ML technique to instantly predict the lifetime of a perturbed PG network. The performance and accuracy of the proposed model using neural network are compared with the well-known standard regression models. We also propose a new failure criterion based on which the EM-aging prediction is done. Potential EM-affected metal segments of the PG network is detected by using a logistic-regression--based classification ML technique. Experiments on different standard PG benchmarks show a significant speedup for our ML model compared to the state-of-the-art models. The predicted value of MTTF for different PG benchmarks using our approach is also better than some of the state-of-the-art MTTF prediction models and comparable to the other accurate models.;Electromigration, machine learning, regression, power grid network, reliability, MTTF, neural network;;
Conference Paper;Park JY,Kim ST,Lee JK,Ham JW,Oh KY;Automatic Inspection Drone with Deep Learning-Based Auto-Tracking Camera Gimbal to Detect Defects in Power Lines;;2020;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 3rd International Conference on Vision, Image and Signal Processing;Vancouver, BC, Canada;2020;9,78145E+12;;"https://doi.org/10.1145/3387168.3387176;http://dx.doi.org/10.1145/3387168.3387176";10.1145/3387168.3387176;The traditional drone inspection performed by human operators is unsuited for the purpose of inspecting power transmission lines, because steel towers and their spans are too high and wide to be inspected with a 250 m line of sight. For this reason, the KEPCO Research Institute developed a new inspection drone system that can automatically fly a predetermined flight path based on the GPS coordinates of steel towers, filming a video of power transmission lines with a high definition camera and a thermal imaging camera. In this system, a camera gimbal with the cameras was still controlled by a human operator from a long distance away. When the drone approached close to a steel tower, however, the camera gimbal was often unable to be controlled and real-time video transmission for the gimbal operator was sometimes interrupted due to radio-frequency interference from steel structure and energized power conductors. To solve such a control problem in the field, we also developed an auto-tracking camera gimbal that can automatically track and photograph power facilities on the basis of Deep Learning. With the automatic gimbal, the entire inspection process can be fully automated. The effectiveness of the developed overall system was confirmed through field tests.;Deep Learning, Power Line Inspection, Gimbal, Automatic Drone, Auto-tracking, Camera;;ICVISP 2019
Conference Paper;Chiroma H,Gital AY,Abubakar A,Usman MJ,Waziri U;Optimization of Neural Network through Genetic Algorithm Searches for the Prediction of International Crude Oil Price Based on Energy Products Prices;;2014;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 11th ACM Conference on Computing Frontiers;Cagliari, Italy;2014;9,78145E+12;;"https://doi.org/10.1145/2597917.2597956;http://dx.doi.org/10.1145/2597917.2597956";10.1145/2597917.2597956;This study investigated the prediction of crude oil price based on energy product prices using genetically optimized Neural Network (GANN). It was found from experimental evidence that the international crude oil price can be predicted based on energy product prices. The comparison of the prediction performance accuracy of the propose GANN with Support Vector Machine (SVM), Vector Autoregression (VAR), and Feed Forward NN (FFNN) suggested that the propose GANN was more accurate than the SVM, VAR, and FFNN in the prediction accuracy and time computational complexity. The propose GANN was able to improve the performance accuracy of the comparison algorithms. Our approach can easily be modified for the prediction of similar commodities.;genetic algorithm, neural network, crude oil price;;CF '14
Conference Paper;Rubin F,Souza P,Ferreto T;Reducing Power Consumption during Server Maintenance on Edge Computing Infrastructures;;2023;;;691–698;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing;Tallinn, Estonia;2023;9,78145E+12;;"https://doi.org/10.1145/3555776.3577739;http://dx.doi.org/10.1145/3555776.3577739";10.1145/3555776.3577739;Edge servers must routinely undergo maintenance to ensure the environment's performance and security. During maintenance, applications hosted by outdated servers must be relocated to alternative servers to avoid downtime. In distributed edges with servers spread across large regions, ensuring that applications are not migrated to servers too far away from their users to avoid high latency hardens the maintenance planning. In addition, the limited power supply of edge sites restricts the list of suitable alternative hosts for the applications even further. Past work has focused on optimizing maintenance or increasing the power efficiency of edge computing infrastructures. However, no work addresses both objectives together. This paper presents Emma, a maintenance strategy that reduces power consumption during edge server maintenance without excessively extending maintenance time or increasing application latency. Experiments show that Emma can minimize power consumption during maintenance by up to 26.48% compared to strategies from the literature.;edge computing, update, maintenance, infrastructure, power consumption;;SAC '23
Journal Article;Lewis AW,Tzeng NF,Ghosh S;Runtime Energy Consumption Estimation for Server Workloads Based on Chaotic Time-Series Approximation;ACM Trans. Archit. Code Optim.;2012;9;3;;Association for Computing Machinery;New York, NY, USA;;;;2012-10;;1544-3566;"https://doi.org/10.1145/2355585.2355588;http://dx.doi.org/10.1145/2355585.2355588";10.1145/2355585.2355588;This article proposes a runtime model that relates server energy consumption to its overall thermal envelope, using hardware performance counters and experimental measurements. While previous studies have attempted system-wide modeling of server power consumption through subsystem models, our approach is different in that it links system energy input to subsystem energy consumption based on a small set of tightly correlated parameters. The proposed model takes into account processor power, bus activities, and system ambient temperature for real-time prediction on the power consumption of long running jobs. Using the HyperTransport and QuickPath Link structures as case studies and through electrical measurements on example server subsystems, we develop a chaotic time-series approximation for runtime power consumption, arriving at the Chaotic Attractor Predictor (CAP). With polynomial time complexity, CAP exhibits high prediction accuracy, having the prediction errors within 1.6% (or 3.3%) for servers based on the HyperTransport bus (or the QuickPath Links), as verified by a set of common processor benchmarks. Our CAP is a superior predictive mechanism over existing linear auto-regressive methods, which require expensive and complex corrective steps to address the nonlinear and chaotic aspects of the underlying physical system.;chaotic time series, Analysis of variance, thermal envelope, time series approximation, QuickPath links, performance counters, HyperTransport buses, energy consumption;;
Conference Paper;Zhang S,Zhao S,Yuan M,Zeng J,Yao J,Lyu MR,King I;Traffic Prediction Based Power Saving in Cellular Networks: A Machine Learning Method;;2017;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 25th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems;Redondo Beach, CA, USA;2017;9,78145E+12;;"https://doi.org/10.1145/3139958.3140053;http://dx.doi.org/10.1145/3139958.3140053";10.1145/3139958.3140053;In smart cities, green cellular networks play a crucial role to support wireless access for numerous devices anywhere and anytime with efficiency and sustainability. Because base stations (BSes) consume more than 70% of overall cellular network infrastructure energy, saving the power consumption of BSes is the key task to build a green cellular network. Except for low power design of the BS hardware and software, the traffic-driven BS sleeping operation is an economical way to improve existing cellular networks, which can reduce the BS power consumption at low traffic load. However, prior BS sleeping strategies establish on the static temporal characteristics of traffic load, which ignore the fact that network traffic is influenced by many factors such as time, human mobility, holiday, weather, etc. Hence, prior traffic estimation is coarse, and the BS sleeping strategies cannot apply to the changing network traffic. In this paper, we exploit a machine learning method to estimate the BS traffic and propose a BS sleeping strategy based on predicted traffic for power saving in the cellular network. We analyze network traffic in multi-views: temporal influence, spatial influence, and event influence. Then, we propose a multi-view ensemble learning model to predict network traffic load, which learns the traffic in multi-views and combine the results with ensemble. Furthermore, we formulate a BS sleeping strategy based on the predicted traffic load. Finally, we evaluate our traffic prediction algorithm on real cellular network data. The evaluation shows that our traffic prediction algorithm improves about 40% than state-of-the-art machine learning methods. Also, we evaluate the proposed BS sleeping strategy, which yields about 10% more energy savings and less device damage than the competitors in the simulated environment.;Smart City, Green Cellular Network, Network Traffic Prediction, Multi-view Learning, Spatio-Temporal Data Analysis;;SIGSPATIAL '17
Conference Paper;Chang J,Meza J,Ranganathan P,Shah A,Shih R,Bash C;Totally Green: Evaluating and Designing Servers for Lifecycle Environmental Impact;;2012;;;25–36;Association for Computing Machinery;New York, NY, USA;;Proceedings of the Seventeenth International Conference on Architectural Support for Programming Languages and Operating Systems;London, England, UK;2012;9,78145E+12;;"https://doi.org/10.1145/2150976.2150980;http://dx.doi.org/10.1145/2150976.2150980";10.1145/2150976.2150980;The environmental impact of servers and datacenters is an important future challenge. System architects have traditionally focused on operational energy as a proxy for designing green servers, but this ignores important environmental implications from server production (materials, manufacturing, etc.). In contrast, this paper argues for a lifecycle focus on the environmental impact of future server designs, to include both operation and production. We present a new methodology to quantify the total environmental impact of system design decisions. Our approach uses the thermodynamic metric of exergy consumption, adapted and validated for use by system architects. Using this methodology, we evaluate the lifecycle impact of several example system designs with environment-friendly optimizations. Our results show that environmental impact from production can be important (around 20% on current servers and growing) and system design choices can reduce this component (by 30--40%). Our results also highlight several, sometimes unexpected, cross-interactions between the environmental impact of production and operation that further motivate a total lifecycle emphasis for future green server designs.;dematerialization, green computing, lifecycle impact, server architecture, environmental sustainability, datacenter design, exergy, disaggregation;;ASPLOS XVII
Journal Article;Chang J,Meza J,Ranganathan P,Shah A,Shih R,Bash C;Totally Green: Evaluating and Designing Servers for Lifecycle Environmental Impact;SIGARCH Comput. Archit. News;2012;40;1;25–36;Association for Computing Machinery;New York, NY, USA;;;;2012-03;;0163-5964;"https://doi.org/10.1145/2189750.2150980;http://dx.doi.org/10.1145/2189750.2150980";10.1145/2189750.2150980;The environmental impact of servers and datacenters is an important future challenge. System architects have traditionally focused on operational energy as a proxy for designing green servers, but this ignores important environmental implications from server production (materials, manufacturing, etc.). In contrast, this paper argues for a lifecycle focus on the environmental impact of future server designs, to include both operation and production. We present a new methodology to quantify the total environmental impact of system design decisions. Our approach uses the thermodynamic metric of exergy consumption, adapted and validated for use by system architects. Using this methodology, we evaluate the lifecycle impact of several example system designs with environment-friendly optimizations. Our results show that environmental impact from production can be important (around 20% on current servers and growing) and system design choices can reduce this component (by 30--40%). Our results also highlight several, sometimes unexpected, cross-interactions between the environmental impact of production and operation that further motivate a total lifecycle emphasis for future green server designs.;exergy, dematerialization, green computing, disaggregation, lifecycle impact, environmental sustainability, datacenter design, server architecture;;
Journal Article;Chang J,Meza J,Ranganathan P,Shah A,Shih R,Bash C;Totally Green: Evaluating and Designing Servers for Lifecycle Environmental Impact;SIGPLAN Not.;2012;47;4;25–36;Association for Computing Machinery;New York, NY, USA;;;;2012-03;;0362-1340;"https://doi.org/10.1145/2248487.2150980;http://dx.doi.org/10.1145/2248487.2150980";10.1145/2248487.2150980;The environmental impact of servers and datacenters is an important future challenge. System architects have traditionally focused on operational energy as a proxy for designing green servers, but this ignores important environmental implications from server production (materials, manufacturing, etc.). In contrast, this paper argues for a lifecycle focus on the environmental impact of future server designs, to include both operation and production. We present a new methodology to quantify the total environmental impact of system design decisions. Our approach uses the thermodynamic metric of exergy consumption, adapted and validated for use by system architects. Using this methodology, we evaluate the lifecycle impact of several example system designs with environment-friendly optimizations. Our results show that environmental impact from production can be important (around 20% on current servers and growing) and system design choices can reduce this component (by 30--40%). Our results also highlight several, sometimes unexpected, cross-interactions between the environmental impact of production and operation that further motivate a total lifecycle emphasis for future green server designs.;dematerialization, green computing, datacenter design, lifecycle impact, exergy, environmental sustainability, disaggregation, server architecture;;
Journal Article;Qiu K,Jao N,Zhou K,Liu Y,Sampson J,Kandemir MT,Narayanan V;MaxTracker: Continuously Tracking the Maximum Computation Progress for Energy Harvesting ReRAM-Based CNN Accelerators;ACM Trans. Embed. Comput. Syst.;2021;20;5s;;Association for Computing Machinery;New York, NY, USA;;;;2021-09;;1539-9087;"https://doi.org/10.1145/3477009;http://dx.doi.org/10.1145/3477009";10.1145/3477009;There is an ongoing trend to increasingly offload inference tasks, such as CNNs, to edge devices in many IoT scenarios. As energy harvesting is an attractive IoT power source, recent ReRAM-based CNN accelerators have been designed for operation on harvested energy. When addressing the instability problems of harvested energy, prior optimization techniques often assume that the load is fixed, overlooking the close interactions among input power, computational load, and circuit efficiency, or adapt the dynamic load to match the just-in-time incoming power under a simple harvesting architecture with no intermediate energy storage.Targeting a more efficient harvesting architecture equipped with both energy storage and energy delivery modules, this paper is the first effort to target whole system, end-to-end efficiency for an energy harvesting ReRAM-based accelerator. First, we model the relationships among ReRAM load power, DC-DC converter efficiency, and power failure overhead. Then, a maximum computation progress tracking scheme (MaxTracker) is proposed to achieve a joint optimization of the whole system by tuning the load power of the ReRAM-based accelerator. Specifically, MaxTracker accommodates both continuous and intermittent computing schemes and provides dynamic ReRAM load according to harvesting scenarios.We evaluate MaxTracker over four input power scenarios, and the experimental results show average speedups of 38.4%/40.3% (up to 51.3%/84.4%), over a full activation scheme (with energy storage) and order-of-magnitude speedups over the recently proposed (energy storage-less) ResiRCA technique. Furthermore, we also explore MaxTracker in combination with the Capybara reconfigurable capacitor approach to offer more flexible tuners and thus further boost the system performance.;maximum computation progress, CNN, DC-DC efficiency, Energy harvesting, computing schemes, ReRAM crossbar;;
Conference Paper;OuldOuali L,Sabouret N,Rich C;I've Got the Power's Value! A Computational Model to Evaluate the Interlocutor's Behaviors in Collaborative Negotiation: Socially Interactive Agents Track;;2018;;;2245–2246;International Foundation for Autonomous Agents and Multiagent Systems;Richland, SC;;Proceedings of the 17th International Conference on Autonomous Agents and MultiAgent Systems;Stockholm, Sweden;2018;;;;;We present in this paper a simulation-oriented theory of mind model for interpreting behaviors of power during a collaborative negotiation. This model relies on a model of negotiation that allows an agent to express behaviors of power through its strategy of negotiation. Based on the simulation theory, we adapted the decision model of the agent to reason about its interlocutor's behavior. A preliminary evaluation in the context of agent-agent interaction shows that the system correctly predicts the interlocutor's power.;reasoning about other, theory of mind, dominance;;AAMAS '18
Conference Paper;Bui DM,Huh EN,Lee S;Optimizing Power Consumption in Cloud Computing Based on Optimization and Predictive Analysis;;2018;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 12th International Conference on Ubiquitous Information Management and Communication;Langkawi, Malaysia;2018;9,78145E+12;;"https://doi.org/10.1145/3164541.3164608;http://dx.doi.org/10.1145/3164541.3164608";10.1145/3164541.3164608;Due to the budget and the environmental issues, achieving energy efficiency gradually receives a lot of attentions these days. In our previous research, a prediction technique has been developed to improve the monitoring statistics. In this research, by adopting the predictive monitoring information, our new proposal can perform the optimization to solve the energy issue of cloud computing. Actually, the optimization technique, which is convex optimization, is coupled with the proposed prediction method to produce a near-optimal set of hosting physical machines. After that, a corresponding migrating instruction can be created eventually. Based on this instruction, the cloud orchestrator can suitably relocate virtual machines to a designed subset of infrastructure. Subsequently, the idle physical servers can be turned off in an appropriate manner to save the power as well as maintain the system performance. For the purpose of evaluation, an experiment is conducted based on 29-day period of Google traces. By utilizing this evaluation, the proposed approach shows the potential to significantly reduce the power consumption without affecting the quality of services.;Energy Efficiency, Cloud Computing, Predictive Analysis, Convex Optimization, IaaS;;IMCOM '18
Conference Paper;Mair J,Huang Z,Eyers D,Chen Y;Quantifying the Energy Efficiency Challenges of Achieving Exascale Computing;;2015;;;943–950;IEEE Press;Shenzhen, China;;Proceedings of the 15th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing;;2015;9,78148E+12;;"https://doi.org/10.1109/CCGrid.2015.130;http://dx.doi.org/10.1109/CCGrid.2015.130";10.1109/CCGrid.2015.130;Power and performance are two potentially opposing objectives in the design of a supercomputer, where increases in performance often come at the cost of increased power consumption and vice versa. The task of simultaneously maximising both objectives is becoming an increasingly prominent challenge in the development of future exascale supercomputers. To gain some perspective on the scale of the challenge, we analyse the power and performance trends for the Top500 and Green500 supercomputer lists. We then present the Pa PW metric, which we use to evaluate the scalability of power efficiency, projecting the development of an exascale system. From this analysis, we found that when both power and performance are considered, the projected date of achieving an exascale system falls far beyond the current target of 2020.;;;CCGRID '15
